Survey_Phase,Section,Question_ID,Question,Response_Category_or_Statistic,Frequency,Percentage,Mean,Positive_Response_Percentage,Base_N,Notes
Pre-Survey,Baseline Practices,Q13,What type of cosmetic products do you usually use?,Nail products,31,15.5,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Practices,Q13,What type of cosmetic products do you usually use?,Perfume or deodorants,110,55.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Practices,Q13,What type of cosmetic products do you usually use?,Skin-lightening products,45,22.5,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Practices,Q14,"When choosing a cosmetic product, which factor influences your decision the most?",Ingredient safety,34,17.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Practices,Q14,"When choosing a cosmetic product, which factor influences your decision the most?",Price,140,70.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Practices,Q14,"When choosing a cosmetic product, which factor influences your decision the most?",Packaging or appearance,50,25.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Practices,Q14,"When choosing a cosmetic product, which factor influences your decision the most?",Advertisement or social media,82,41.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Practices,Q14,"When choosing a cosmetic product, which factor influences your decision the most?",Recommendation from friends / family,62,31.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Post-Survey,Post-Intervention Knowledge,Q1,"After viewing the dashboard, how confident are you in identifying risky cosmetic ingredients?",Much less confident,17,8.5,,,200,
Post-Survey,Post-Intervention Knowledge,Q1,"After viewing the dashboard, how confident are you in identifying risky cosmetic ingredients?",Less confident,26,13.0,,,200,
Post-Survey,Post-Intervention Knowledge,Q1,"After viewing the dashboard, how confident are you in identifying risky cosmetic ingredients?",Neutral,38,19.0,,,200,
Post-Survey,Post-Intervention Knowledge,Q1,"After viewing the dashboard, how confident are you in identifying risky cosmetic ingredients?",More confident,106,53.0,,,200,
Post-Survey,Post-Intervention Knowledge,Q1,"After viewing the dashboard, how confident are you in identifying risky cosmetic ingredients?",Much more confident,13,6.5,,,200,
Post-Survey,Post-Intervention Knowledge,Q1,"After viewing the dashboard, how confident are you in identifying risky cosmetic ingredients?",Mean and positive-response summary,,,3.36,59.5,200,Positive response combines the two most favourable response categories.
Post-Survey,Post-Intervention Knowledge,Q2,The dashboard helped me understand ingredient risk levels more clearly.,Strongly disagree,18,9.0,,,200,
