canonical_name,primary_category,n_products_in_category
2-hexanediol,Skincare,477
2-hexanediol,Makeup,258
2-hexanediol,Mini Size,28
2-hexanediol,Hair,27
2-hexanediol,Bath & Body,15
acacia senegal gum,Makeup,91
acacia senegal gum,Skincare,55
acacia senegal gum,Mini Size,19
acacia senegal gum,Hair,7
acacia senegal gum,Bath & Body,6
acetic acid,Hair,82
acetic acid,Skincare,8
acetic acid,Fragrance,7
acetic acid,Bath & Body,1
acetic acid,Mini Size,1
acetyl glucosamine,Skincare,82
acetyl glucosamine,Makeup,8
acetyl glucosamine,Hair,3
acetyl glucosamine,Men,3
acetyl glucosamine,Bath & Body,2
acetyl hexapeptide-8,Skincare,103
acetyl hexapeptide-8,Makeup,12
acetyl hexapeptide-8,Men,3
acetyl hexapeptide-8,Mini Size,3
acetyl hexapeptide-8,Bath & Body,2
acrylates copolymer,Makeup,128
acrylates copolymer,Hair,94
acrylates copolymer,Skincare,53
acrylates copolymer,Bath & Body,14
acrylates copolymer,Mini Size,12
acrylates/c10-30 alkyl acrylate crosspolymer,Skincare,284
acrylates/c10-30 alkyl acrylate crosspolymer,Hair,40
acrylates/c10-30 alkyl acrylate crosspolymer,Makeup,28
acrylates/c10-30 alkyl acrylate crosspolymer,Bath & Body,26
acrylates/c10-30 alkyl acrylate crosspolymer,Mini Size,7
adenosine,Skincare,217
adenosine,Makeup,14
adenosine,Mini Size,4
adenosine,Bath & Body,2
adenosine,Hair,2
alanine,Hair,60
alanine,Skincare,51
alanine,Makeup,12
alanine,Bath & Body,4
alanine,Mini Size,3
alcohol,Fragrance,364
alcohol,Skincare,230
alcohol,Makeup,136
alcohol,Hair,82
alcohol,Bath & Body,27
alcohol denat,Fragrance,695
alcohol denat,Skincare,202
alcohol denat,Hair,159
alcohol denat,Makeup,98
alcohol denat,Mini Size,42
algae extract,Skincare,92
algae extract,Makeup,26
algae extract,Hair,16
algae extract,Mini Size,6
algae extract,Men,3
algin,Skincare,66
algin,Hair,29
algin,Makeup,9
algin,Mini Size,6
algin,Men,2
allantoin,Skincare,223
allantoin,Bath & Body,34
allantoin,Makeup,23
allantoin,Mini Size,12
allantoin,Hair,11
aloe barbadensis,Skincare,441
aloe barbadensis,Hair,236
aloe barbadensis,Makeup,93
aloe barbadensis,Bath & Body,82
aloe barbadensis,Fragrance,40
alpha-isomethyl ionone,Fragrance,474
alpha-isomethyl ionone,Hair,146
alpha-isomethyl ionone,Skincare,57
alpha-isomethyl ionone,Bath & Body,43
alpha-isomethyl ionone,Makeup,26
alumina,Makeup,203
alumina,Skincare,34
alumina,Mini Size,11
alumina,Bath & Body,3
alumina,Fragrance,3
aluminum hydroxide,Makeup,242
aluminum hydroxide,Skincare,36
aluminum hydroxide,Mini Size,16
aluminum hydroxide,Fragrance,2
aluminum hydroxide,Bath & Body,1
aluminum powder (ci 77000),Makeup,59
aluminum powder (ci 77000),Mini Size,6
aluminum powder (ci 77000),Men,1
aluminum powder (ci 77000),Skincare,1
aluminum starch octenylsuccinate,Makeup,50
aluminum starch octenylsuccinate,Hair,32
aluminum starch octenylsuccinate,Mini Size,9
aluminum starch octenylsuccinate,Skincare,9
aluminum starch octenylsuccinate,Bath & Body,5
aminomethyl propanol,Hair,110
aminomethyl propanol,Skincare,73
aminomethyl propanol,Makeup,56
aminomethyl propanol,Mini Size,13
aminomethyl propanol,Bath & Body,7
ammonium acryloyldimethyltaurate/vp copolymer,Skincare,151
ammonium acryloyldimethyltaurate/vp copolymer,Makeup,28
ammonium acryloyldimethyltaurate/vp copolymer,Bath & Body,8
ammonium acryloyldimethyltaurate/vp copolymer,Mini Size,5
ammonium acryloyldimethyltaurate/vp copolymer,Hair,3
amodimethicone,Hair,211
amodimethicone,Skincare,13
amodimethicone,Makeup,5
amodimethicone,Mini Size,4
amodimethicone,Men,1
amyl cinnamal,Fragrance,69
amyl cinnamal,Hair,39
amyl cinnamal,Skincare,10
amyl cinnamal,Bath & Body,8
amyl cinnamal,Makeup,6
anhydroxylitol,Skincare,56
anhydroxylitol,Hair,26
anhydroxylitol,Bath & Body,5
anhydroxylitol,Makeup,4
anhydroxylitol,Mini Size,1
argania spinosa kernel oil,Hair,187
argania spinosa kernel oil,Skincare,55
argania spinosa kernel oil,Makeup,38
argania spinosa kernel oil,Bath & Body,27
argania spinosa kernel oil,Mini Size,22
arginine,Skincare,154
arginine,Hair,122
arginine,Makeup,29
arginine,Bath & Body,9
arginine,Mini Size,9
ascorbic acid,Skincare,586
ascorbic acid,Makeup,255
ascorbic acid,Hair,107
ascorbic acid,Bath & Body,35
ascorbic acid,Mini Size,26
aspartic acid,Hair,62
aspartic acid,Skincare,37
aspartic acid,Makeup,10
aspartic acid,Bath & Body,4
aspartic acid,Mini Size,3
astrocaryum murumuru seed butter,Hair,37
astrocaryum murumuru seed butter,Skincare,25
astrocaryum murumuru seed butter,Makeup,18
astrocaryum murumuru seed butter,Bath & Body,6
astrocaryum murumuru seed butter,Fragrance,1
avena sativa (oat) kernel extract,Skincare,69
avena sativa (oat) kernel extract,Bath & Body,8
avena sativa (oat) kernel extract,Hair,4
avena sativa (oat) kernel extract,Makeup,2
avena sativa (oat) kernel extract,Fragrance,1
behentrimonium chloride,Hair,315
behentrimonium chloride,Mini Size,10
behentrimonium chloride,Men,1
behentrimonium chloride,Skincare,1
behentrimonium methosulfate,Hair,141
behentrimonium methosulfate,Men,3
behentrimonium methosulfate,Mini Size,3
behenyl alcohol,Skincare,187
behenyl alcohol,Hair,23
behenyl alcohol,Makeup,16
behenyl alcohol,Bath & Body,15
behenyl alcohol,Mini Size,8
benzoic acid,Hair,120
benzoic acid,Skincare,110
benzoic acid,Makeup,54
benzoic acid,Fragrance,20
benzoic acid,Bath & Body,19
benzophenone-4,Hair,84
benzophenone-4,Skincare,23
benzophenone-4,Bath & Body,11
benzophenone-4,Mini Size,3
benzophenone-4,Men,2
benzyl alcohol,Fragrance,497
benzyl alcohol,Hair,374
benzyl alcohol,Skincare,211
benzyl alcohol,Makeup,104
benzyl alcohol,Bath & Body,47
benzyl benzoate,Fragrance,531
benzyl benzoate,Hair,116
benzyl benzoate,Skincare,96
benzyl benzoate,Makeup,73
benzyl benzoate,Bath & Body,38
benzyl cinnamate,Fragrance,91
benzyl cinnamate,Hair,16
benzyl cinnamate,Mini Size,3
benzyl cinnamate,Bath & Body,2
benzyl cinnamate,Makeup,1
benzyl salicylate,Fragrance,567
benzyl salicylate,Hair,217
benzyl salicylate,Skincare,84
benzyl salicylate,Bath & Body,61
benzyl salicylate,Makeup,44
betaine,Skincare,230
betaine,Hair,32
betaine,Makeup,21
betaine,Bath & Body,9
betaine,Mini Size,7
bht,Fragrance,322
bht,Skincare,225
bht,Makeup,205
bht,Hair,189
bht,Mini Size,37
biotin,Hair,131
biotin,Skincare,37
biotin,Makeup,28
biotin,Mini Size,4
biotin,Bath & Body,3
bis-diglyceryl polyacyladipate-2,Makeup,192
bis-diglyceryl polyacyladipate-2,Skincare,46
bis-diglyceryl polyacyladipate-2,Mini Size,15
bis-diglyceryl polyacyladipate-2,Hair,5
bis-diglyceryl polyacyladipate-2,Fragrance,3
bisabolol,Skincare,169
bisabolol,Bath & Body,31
bisabolol,Makeup,19
bisabolol,Hair,12
bisabolol,Mini Size,10
bismuth oxychloride (ci 77163),Makeup,279
bismuth oxychloride (ci 77163),Mini Size,26
bismuth oxychloride (ci 77163),Skincare,12
bismuth oxychloride (ci 77163),Hair,2
bismuth oxychloride (ci 77163),Men,1
boron nitride,Makeup,172
boron nitride,Skincare,31
boron nitride,Mini Size,18
boron nitride,Hair,2
butyl methoxydibenzoylmethane,Fragrance,515
butyl methoxydibenzoylmethane,Hair,59
butyl methoxydibenzoylmethane,Skincare,43
butyl methoxydibenzoylmethane,Mini Size,10
butyl methoxydibenzoylmethane,Bath & Body,9
butylene glycol,Skincare,1080
butylene glycol,Makeup,516
butylene glycol,Hair,384
butylene glycol,Mini Size,80
butylene glycol,Bath & Body,60
butylene/ethylene/styrene copolymer,Makeup,74
butylene/ethylene/styrene copolymer,Skincare,24
butylene/ethylene/styrene copolymer,Hair,3
butylene/ethylene/styrene copolymer,Mini Size,3
butylene/ethylene/styrene copolymer,Bath & Body,1
butyloctyl salicylate,Skincare,65
butyloctyl salicylate,Makeup,22
butyloctyl salicylate,Bath & Body,5
butyloctyl salicylate,Mini Size,2
butylphenyl methylpropional,Hair,145
butylphenyl methylpropional,Fragrance,141
butylphenyl methylpropional,Skincare,38
butylphenyl methylpropional,Bath & Body,29
butylphenyl methylpropional,Mini Size,24
c10-18 triglycerides,Makeup,39
c10-18 triglycerides,Skincare,37
c10-18 triglycerides,Bath & Body,5
c10-18 triglycerides,Hair,3
c10-18 triglycerides,Mini Size,2
c11-15 pareth-7,Hair,96
c11-15 pareth-7,Makeup,12
c11-15 pareth-7,Mini Size,4
c11-15 pareth-7,Men,2
c12-15 alkyl benzoate,Skincare,116
c12-15 alkyl benzoate,Makeup,67
c12-15 alkyl benzoate,Hair,33
c12-15 alkyl benzoate,Bath & Body,18
c12-15 alkyl benzoate,Mini Size,9
c13-15 alkane,Hair,30
c13-15 alkane,Skincare,28
c13-15 alkane,Makeup,21
c13-15 alkane,Bath & Body,6
c13-15 alkane,Mini Size,3
caffeine,Skincare,280
caffeine,Makeup,67
caffeine,Hair,48
caffeine,Bath & Body,31
caffeine,Men,16
calcium aluminum borosilicate,Makeup,189
calcium aluminum borosilicate,Mini Size,15
calcium aluminum borosilicate,Skincare,4
calcium aluminum borosilicate,Fragrance,2
calcium aluminum borosilicate,Bath & Body,1
calcium gluconate,Hair,79
calcium gluconate,Skincare,62
calcium gluconate,Makeup,12
calcium gluconate,Bath & Body,7
calcium gluconate,Mini Size,2
calcium sodium borosilicate,Makeup,224
calcium sodium borosilicate,Mini Size,12
calcium sodium borosilicate,Bath & Body,6
calcium sodium borosilicate,Skincare,6
calcium sodium borosilicate,Fragrance,5
camellia sinensis leaf extract,Skincare,372
camellia sinensis leaf extract,Hair,107
camellia sinensis leaf extract,Makeup,87
camellia sinensis leaf extract,Bath & Body,32
camellia sinensis leaf extract,Fragrance,26
caprylhydroxamic acid,Skincare,93
caprylhydroxamic acid,Makeup,26
caprylhydroxamic acid,Hair,22
caprylhydroxamic acid,Bath & Body,9
caprylhydroxamic acid,Mini Size,5
caprylic/capric triglyceride,Skincare,709
caprylic/capric triglyceride,Makeup,499
caprylic/capric triglyceride,Hair,144
caprylic/capric triglyceride,Bath & Body,117
caprylic/capric triglyceride,Mini Size,58
capryloyl glycerin/sebacic acid copolymer,Skincare,49
capryloyl glycerin/sebacic acid copolymer,Hair,25
capryloyl glycerin/sebacic acid copolymer,Makeup,6
capryloyl glycerin/sebacic acid copolymer,Mini Size,3
capryloyl glycerin/sebacic acid copolymer,Bath & Body,2
caprylyl glycol,Skincare,798
caprylyl glycol,Makeup,741
caprylyl glycol,Hair,369
caprylyl glycol,Bath & Body,91
caprylyl glycol,Mini Size,86
caprylyl methicone,Makeup,76
caprylyl methicone,Skincare,36
caprylyl methicone,Hair,10
caprylyl methicone,Mini Size,4
caprylyl methicone,Bath & Body,2
caramel,Skincare,61
caramel,Hair,32
caramel,Bath & Body,9
caramel,Makeup,4
caramel,Mini Size,3
carbomer,Skincare,486
carbomer,Hair,89
carbomer,Makeup,69
carbomer,Bath & Body,39
carbomer,Mini Size,16
carmine (ci 75470),Makeup,260
carmine (ci 75470),Mini Size,25
carmine (ci 75470),Skincare,12
carmine (ci 75470),Men,1
carthamus tinctorius (safflower) seed oil,Skincare,74
carthamus tinctorius (safflower) seed oil,Hair,47
carthamus tinctorius (safflower) seed oil,Makeup,40
carthamus tinctorius (safflower) seed oil,Bath & Body,15
carthamus tinctorius (safflower) seed oil,Mini Size,8
cellulose,Skincare,71
cellulose,Makeup,56
cellulose,Hair,18
cellulose,Mini Size,9
cellulose,Bath & Body,4
cellulose gum,Skincare,89
cellulose gum,Makeup,18
cellulose gum,Hair,7
cellulose gum,Mini Size,3
cellulose gum,Bath & Body,1
centella asiatica extract,Skincare,62
centella asiatica extract,Hair,14
centella asiatica extract,Bath & Body,10
centella asiatica extract,Makeup,10
cera alba (beeswax),Makeup,53
cera alba (beeswax),Skincare,13
cera alba (beeswax),Mini Size,4
ceramide np,Skincare,185
ceramide np,Bath & Body,18
ceramide np,Hair,17
ceramide np,Makeup,13
ceramide np,Mini Size,5
ceteareth-20,Skincare,64
ceteareth-20,Hair,39
ceteareth-20,Bath & Body,10
ceteareth-20,Makeup,5
ceteareth-20,Mini Size,2
cetearyl alcohol,Hair,466
cetearyl alcohol,Skincare,442
cetearyl alcohol,Bath & Body,112
cetearyl alcohol,Makeup,44
cetearyl alcohol,Mini Size,27
cetearyl ethylhexanoate,Makeup,79
cetearyl ethylhexanoate,Skincare,23
cetearyl ethylhexanoate,Mini Size,4
cetearyl ethylhexanoate,Bath & Body,2
cetearyl ethylhexanoate,Hair,1
cetearyl glucoside,Skincare,128
cetearyl glucoside,Bath & Body,27
cetearyl glucoside,Hair,14
cetearyl glucoside,Men,5
cetearyl glucoside,Makeup,4
cetearyl olivate,Skincare,124
cetearyl olivate,Bath & Body,26
cetearyl olivate,Makeup,10
cetearyl olivate,Hair,9
cetearyl olivate,Fragrance,2
cetrimonium chloride,Hair,336
cetrimonium chloride,Mini Size,12
cetrimonium chloride,Skincare,3
cetrimonium chloride,Fragrance,2
cetrimonium chloride,Men,2
cetyl alcohol,Skincare,281
cetyl alcohol,Hair,238
cetyl alcohol,Makeup,67
cetyl alcohol,Bath & Body,57
cetyl alcohol,Mini Size,28
cetyl esters,Hair,129
cetyl esters,Skincare,20
cetyl esters,Makeup,4
cetyl esters,Bath & Body,3
cetyl esters,Mini Size,2
cetyl ethylhexanoate,Skincare,74
cetyl ethylhexanoate,Makeup,18
cetyl ethylhexanoate,Bath & Body,8
cetyl ethylhexanoate,Mini Size,5
cetyl ethylhexanoate,Hair,3
cetyl palmitate,Skincare,50
cetyl palmitate,Hair,12
cetyl palmitate,Makeup,8
cetyl palmitate,Bath & Body,7
cetyl palmitate,Men,1
chamomilla recutita (matricaria) flower extract,Skincare,115
chamomilla recutita (matricaria) flower extract,Hair,58
chamomilla recutita (matricaria) flower extract,Makeup,27
chamomilla recutita (matricaria) flower extract,Mini Size,8
chamomilla recutita (matricaria) flower extract,Bath & Body,7
chlorphenesin,Skincare,268
chlorphenesin,Hair,184
chlorphenesin,Makeup,102
chlorphenesin,Bath & Body,34
chlorphenesin,Mini Size,32
cholesterol,Skincare,128
cholesterol,Makeup,27
cholesterol,Bath & Body,10
cholesterol,Hair,5
cholesterol,Men,3
chondrus crispus extract,Skincare,54
chondrus crispus extract,Hair,26
chondrus crispus extract,Makeup,11
chondrus crispus extract,Mini Size,3
chondrus crispus extract,Bath & Body,1
ci 14700 (red 4),Fragrance,220
ci 14700 (red 4),Skincare,67
ci 14700 (red 4),Hair,22
ci 14700 (red 4),Bath & Body,14
ci 14700 (red 4),Makeup,7
ci 15850 (red 7),Makeup,652
ci 15850 (red 7),Mini Size,25
ci 15850 (red 7),Skincare,22
ci 15850 (red 7),Bath & Body,1
ci 15985 (yellow 6),Makeup,169
ci 15985 (yellow 6),Fragrance,50
ci 15985 (yellow 6),Skincare,47
ci 15985 (yellow 6),Hair,18
ci 15985 (yellow 6),Mini Size,8
ci 16035 (red 40),Makeup,46
ci 16035 (red 40),Skincare,25
ci 16035 (red 40),Mini Size,7
ci 16035 (red 40),Hair,1
ci 17200 (red 33),Fragrance,115
ci 17200 (red 33),Makeup,64
ci 17200 (red 33),Skincare,40
ci 17200 (red 33),Hair,21
ci 17200 (red 33),Mini Size,8
ci 19140 (yellow 5),Makeup,579
ci 19140 (yellow 5),Fragrance,238
ci 19140 (yellow 5),Skincare,122
ci 19140 (yellow 5),Hair,48
ci 19140 (yellow 5),Mini Size,46
ci 42090 (blue 1),Makeup,432
ci 42090 (blue 1),Fragrance,106
ci 42090 (blue 1),Skincare,82
ci 42090 (blue 1),Mini Size,23
ci 42090 (blue 1),Hair,11
ci 45410 (red 28),Makeup,270
ci 45410 (red 28),Skincare,9
ci 45410 (red 28),Mini Size,8
ci 60730 (ext violet 2),Fragrance,261
ci 60730 (ext violet 2),Hair,34
ci 60730 (ext violet 2),Skincare,19
ci 60730 (ext violet 2),Bath & Body,6
ci 60730 (ext violet 2),Mini Size,4
ci 77288 (chromium oxide green),Makeup,124
ci 77288 (chromium oxide green),Mini Size,12
ci 77288 (chromium oxide green),Skincare,5
ci 77288 (chromium oxide green),Bath & Body,2
ci 77288 (chromium oxide green),Men,1
ci 77289 (chromium hydroxide green),Makeup,105
ci 77289 (chromium hydroxide green),Mini Size,11
ci 77289 (chromium hydroxide green),Skincare,6
ci 77289 (chromium hydroxide green),Men,1
cinnamal,Fragrance,153
cinnamal,Skincare,7
cinnamal,Mini Size,5
cinnamal,Bath & Body,4
cinnamal,Makeup,2
cinnamyl alcohol,Fragrance,209
cinnamyl alcohol,Makeup,10
cinnamyl alcohol,Bath & Body,8
cinnamyl alcohol,Skincare,8
cinnamyl alcohol,Hair,7
citral,Fragrance,800
citral,Skincare,222
citral,Hair,179
citral,Bath & Body,82
citral,Makeup,42
citric acid,Skincare,956
citric acid,Hair,723
citric acid,Makeup,271
citric acid,Bath & Body,132
citric acid,Mini Size,66
citronellol,Fragrance,822
citronellol,Hair,292
citronellol,Skincare,291
citronellol,Bath & Body,105
citronellol,Makeup,65
citrullus lanatus (watermelon) fruit extract,Hair,63
citrullus lanatus (watermelon) fruit extract,Skincare,53
citrullus lanatus (watermelon) fruit extract,Makeup,12
citrullus lanatus (watermelon) fruit extract,Mini Size,4
citrullus lanatus (watermelon) fruit extract,Bath & Body,2
citrus aurantium bergamia (bergamot) fruit oil,Skincare,68
citrus aurantium bergamia (bergamot) fruit oil,Hair,13
citrus aurantium bergamia (bergamot) fruit oil,Bath & Body,8
citrus aurantium bergamia (bergamot) fruit oil,Mini Size,7
citrus aurantium bergamia (bergamot) fruit oil,Makeup,5
citrus aurantium dulcis (orange) fruit extract,Skincare,79
citrus aurantium dulcis (orange) fruit extract,Bath & Body,15
citrus aurantium dulcis (orange) fruit extract,Hair,13
citrus aurantium dulcis (orange) fruit extract,Makeup,6
citrus aurantium dulcis (orange) fruit extract,Mini Size,2
citrus aurantium dulcis (orange) peel oil,Skincare,66
citrus aurantium dulcis (orange) peel oil,Hair,28
citrus aurantium dulcis (orange) peel oil,Bath & Body,13
citrus aurantium dulcis (orange) peel oil,Makeup,8
citrus aurantium dulcis (orange) peel oil,Fragrance,6
citrus limon (lemon) fruit extract,Skincare,95
citrus limon (lemon) fruit extract,Hair,31
citrus limon (lemon) fruit extract,Bath & Body,15
citrus limon (lemon) fruit extract,Makeup,13
citrus limon (lemon) fruit extract,Mini Size,7
citrus limon (lemon) peel oil,Skincare,73
citrus limon (lemon) peel oil,Hair,12
citrus limon (lemon) peel oil,Bath & Body,11
citrus limon (lemon) peel oil,Fragrance,8
citrus limon (lemon) peel oil,Makeup,5
cocamidopropyl betaine,Hair,174
cocamidopropyl betaine,Skincare,86
cocamidopropyl betaine,Bath & Body,34
cocamidopropyl betaine,Men,8
cocamidopropyl betaine,Mini Size,3
cocamidopropyl hydroxysultaine,Hair,60
cocamidopropyl hydroxysultaine,Skincare,44
cocamidopropyl hydroxysultaine,Men,5
cocamidopropyl hydroxysultaine,Bath & Body,3
cocamidopropyl hydroxysultaine,Mini Size,1
coccinia indica fruit extract,Skincare,57
coccinia indica fruit extract,Hair,9
coccinia indica fruit extract,Makeup,8
coccinia indica fruit extract,Bath & Body,3
coccinia indica fruit extract,Fragrance,2
coco-betaine,Hair,53
coco-betaine,Skincare,24
coco-betaine,Bath & Body,5
coco-betaine,Men,3
coco-betaine,Mini Size,3
coco-caprylate/caprate,Skincare,182
coco-caprylate/caprate,Makeup,52
coco-caprylate/caprate,Hair,36
coco-caprylate/caprate,Bath & Body,18
coco-caprylate/caprate,Mini Size,6
coco-glucoside,Skincare,85
coco-glucoside,Hair,42
coco-glucoside,Bath & Body,14
coco-glucoside,Makeup,14
coco-glucoside,Mini Size,5
coconut acid,Hair,69
coconut acid,Skincare,24
coconut acid,Bath & Body,10
coconut acid,Makeup,7
coconut acid,Men,3
coconut alkanes,Skincare,47
coconut alkanes,Hair,23
coconut alkanes,Makeup,16
coconut alkanes,Bath & Body,7
cocos nucifera oil,Hair,258
cocos nucifera oil,Skincare,131
cocos nucifera oil,Makeup,89
cocos nucifera oil,Bath & Body,78
cocos nucifera oil,Mini Size,24
copernicia cerifera (carnauba) wax,Makeup,80
copernicia cerifera (carnauba) wax,Skincare,13
copernicia cerifera (carnauba) wax,Mini Size,5
copernicia cerifera (carnauba) wax,Bath & Body,2
copernicia cerifera (carnauba) wax,Fragrance,1
corallina officinalis extract,Skincare,77
corallina officinalis extract,Hair,15
corallina officinalis extract,Makeup,11
corallina officinalis extract,Bath & Body,6
corallina officinalis extract,Fragrance,2
coumarin,Fragrance,564
coumarin,Hair,160
coumarin,Bath & Body,67
coumarin,Skincare,32
coumarin,Mini Size,17
cucumis sativus (cucumber) fruit extract,Skincare,143
cucumis sativus (cucumber) fruit extract,Makeup,19
cucumis sativus (cucumber) fruit extract,Fragrance,14
cucumis sativus (cucumber) fruit extract,Hair,9
cucumis sativus (cucumber) fruit extract,Men,7
curcuma longa (turmeric) root extract,Skincare,111
curcuma longa (turmeric) root extract,Hair,19
curcuma longa (turmeric) root extract,Makeup,13
curcuma longa (turmeric) root extract,Bath & Body,7
curcuma longa (turmeric) root extract,Mini Size,3
cyclohexasiloxane,Makeup,44
cyclohexasiloxane,Skincare,41
cyclohexasiloxane,Hair,13
cyclohexasiloxane,Mini Size,4
cyclohexasiloxane,Men,1
cyclopentasiloxane,Makeup,200
cyclopentasiloxane,Skincare,110
cyclopentasiloxane,Hair,86
cyclopentasiloxane,Mini Size,27
cyclopentasiloxane,Men,10
decyl glucoside,Skincare,120
decyl glucoside,Hair,98
decyl glucoside,Bath & Body,15
decyl glucoside,Makeup,7
decyl glucoside,Mini Size,7
decylene glycol,Makeup,9
decylene glycol,Skincare,3
decylene glycol,Bath & Body,2
decylene glycol,Hair,2
decylene glycol,Men,1
dehydroacetic acid,Skincare,88
dehydroacetic acid,Makeup,68
dehydroacetic acid,Hair,66
dehydroacetic acid,Bath & Body,13
dehydroacetic acid,Mini Size,10
dextrin,Skincare,84
dextrin,Makeup,8
dextrin,Hair,5
dextrin,Mini Size,4
dextrin,Bath & Body,3
dicalcium phosphate,Makeup,127
dicalcium phosphate,Mini Size,4
dicalcium phosphate,Skincare,3
dicalcium phosphate,Hair,2
dicaprylyl carbonate,Skincare,105
dicaprylyl carbonate,Hair,31
dicaprylyl carbonate,Makeup,18
dicaprylyl carbonate,Bath & Body,12
dicaprylyl carbonate,Mini Size,2
dicaprylyl ether,Skincare,56
dicaprylyl ether,Makeup,17
dicaprylyl ether,Hair,14
dicaprylyl ether,Bath & Body,4
dicaprylyl ether,Mini Size,3
diheptyl succinate,Skincare,45
diheptyl succinate,Hair,31
diheptyl succinate,Mini Size,3
diheptyl succinate,Bath & Body,1
diheptyl succinate,Fragrance,1
diisostearyl malate,Makeup,254
diisostearyl malate,Skincare,54
diisostearyl malate,Hair,15
diisostearyl malate,Mini Size,11
diisostearyl malate,Bath & Body,6
dimethicone,Makeup,1756
dimethicone,Skincare,1036
dimethicone,Hair,373
dimethicone,Mini Size,179
dimethicone,Bath & Body,89
dimethiconol,Hair,123
dimethiconol,Makeup,65
dimethiconol,Skincare,63
dimethiconol,Mini Size,8
dimethiconol,Men,6
dimethyl isosorbide,Skincare,84
dimethyl isosorbide,Hair,6
dimethyl isosorbide,Makeup,4
dimethyl isosorbide,Mini Size,2
dimethyl isosorbide,Bath & Body,1
