product_id,product_name,brand_name,ingredients,ingredients_parsed,ingredient_count_check
P446621,Organic Cotton Pads,SEPHORA COLLECTION,['100% Cotton Fiber.'],100% cotton fiber,1
P471278,Lilly Lashes x Sephora Collection Faux 3D Lashes,SEPHORA COLLECTION,['Synthetic Lashes.'],synthetic lashes,1
P439036,One Two Lash Magnetic Lashes,SEPHORA COLLECTION,"['Cruelty-free Synthetic Eyelashes, Micro-magnets']",cruelty-free synthetic eyelashes | micro-magnets,2
P173726,Facial Cotton,Shiseido,['100% Cotton.'],100% cotton,1
P503310,Eye Play Gem Sticker Pack,SIMIHAZE BEAUTY,['Acrylate Copolymer.'],acrylate copolymer,1
P402944,Silk Pillowcase - Standard/Queen,Slip,['100% high-grade (6A) long-fiber mulberry silk with a thickness of 22 momme.'],100% high-grade (6a) long-fiber mulberry silk with a thickness of 22 momme,1
P402943,Silk Pillowcase - King,Slip,['100% high-grade (6A) long-fiber mulberry silk with a thickness of 22 momme.'],100% high-grade (6a) long-fiber mulberry silk with a thickness of 22 momme,1
P477242,Starlet Crystal Scrunchie Set,Slip,"['100% Slipsilk (Exclusive of Elastic and Crystals), Made from 100% Highest Grade (6A) Long Fiber Mulberry Silk with a Thickness of 22 Momme.']",100% slipsilk (exclusive of elastic and crystals) | made from 100% highest grade (6a) long fiber mulberry silk with a thickness of 22 momme,2
P477761,Lovely Lashes Contour Sleep Mask,Slip,"['Outer 100% silk (exclusive of elastic and piping), 100% PU foam (exclusive of silk liner).']",outer 100% silk (exclusive of elastic and piping) | 100% pu foam (exclusive of silk liner),2
P472340,Tea Tree Essential Oil,SUNDAY II SUNDAY,['100% Pure Tea Tree Oil.'],100% pure tea tree oil,1
P472339,Peppermint Essential Oil,SUNDAY II SUNDAY,"['MCT (100% pure Fractionated Coconut oil), Mentha Piperita (100% Pure Peppermint Oil).']",mct (100% pure fractionated coconut oil) | mentha piperita (100% pure peppermint oil),2
P472338,Argan Essential Oil,SUNDAY II SUNDAY,['Argania Spinosa (100% Pure Argan Oil).'],argania spinosa (100% pure argan oil),1
P443834,Rosehip Nourishing Night Oil,The INKEY List,['Rosa Canina Fruit Oil.'],rosa canina fruit oil,1
P505436,Spiritus Candle,The Maker,['100% Pure Soy Wax with a Cotton Wick.'],100% pure soy wax with a cotton wick,1
P505463,Artist Candle,The Maker,['100% Pure Soy Wax with a Cotton Wick.'],100% pure soy wax with a cotton wick,1
