rank,canonical_name,total_mentions,variant_count,example_variants,risk_level,sub_weight,source,health_concern
1,water,6805,25,aqua | aqua (water | aqua (water) ... (+22 more),,,,
2,dimethicone,4444,31,acrylates/dimethicone copolymer | bis-stearyl dimethicone | c30-45 alkyl dimethicone ... (+28 more),,,,
3,glycerin,4393,5,glycerin | glycerin* | glycerin** ... (+2 more),,,,
4,phenoxyethanol,4266,1,phenoxyethanol,,,,
5,parfum (fragrance),4168,11,fragrance | fragrance (parfum) | fragrance / parfum ... (+8 more),,,,
6,tocopherol,3053,4,tocopherol | tocopherol acetate | tocopheryl acetate (vitamin e acetate) ... (+1 more),,,,
7,titanium dioxide (ci 77891),2925,11,+/- ci 77891 (titanium dioxide) | +/- titanium dioxide (ci 77891) | ci 77891 ... (+8 more),,,,
8,linalool,2902,2,ethyl linalool | linalool,,,,
9,limonene,2860,2,d-limonene | limonene,,,,
10,silica,2850,4,hydrated silica | silica | silica dimethyl silylate ... (+1 more),,,,
11,caprylyl glycol,2835,1,caprylyl glycol,,,,
12,ethylhexylglycerin,2513,1,ethylhexylglycerin,,,,
13,iron oxides (ci 77491),2486,13,+/- iron oxides (ci 77491 | ci 77491 | ci 77491 (iron oxides) ... (+10 more),,,,
14,citric acid,2437,2,citric acid | citric acid*,,,,
15,butylene glycol,2372,2,butylene glycol | butylene glycol dicaprylate/dicaprate,,,,
16,mica (ci 77019),2357,3,+/- mica | mica | mica (ci 77019),,,,
17,sodium hyaluronate,2215,6,hyaluronic acid | hydrolyzed hyaluronic acid | hydrolyzed sodium hyaluronate ... (+3 more),,,,
18,iron oxides (ci 77499),2133,10,ci 77499 | ci 77499 (iron oxides) | ci 77499 / iron oxides ... (+7 more),,,,
19,potassium sorbate,1966,1,potassium sorbate,,,,
20,iron oxides (ci 77492),1956,10,ci 77492 | ci 77492 (iron oxides) | ci 77492 / iron oxides ... (+7 more),,,,
21,caprylic/capric triglyceride,1863,2,caprylic/capric triglyceride | caprylic/capric triglyceride**,,,,
22,disodium edta,1826,4,disodium edta | edta | tetrasodium edta ... (+1 more),,,,
23,sodium benzoate,1814,1,sodium benzoate,,,,
24,citronellol,1812,1,citronellol,,,,
25,propanediol,1743,5,aminomethyl propanediol | dilinoleic acid/propanediol copolymer | methoxyphenyl t-butylphenyl propanediol ... (+2 more),,,,
26,geraniol,1739,1,geraniol,,,,
27,tocopheryl acetate,1708,1,tocopheryl acetate,,,,
28,citral,1530,1,citral,,,,
29,helianthus annuus seed oil,1461,13,helianthus annuus (sunflower) extract | helianthus annuus (sunflower) seed extract | helianthus annuus (sunflower) seed oil ... (+10 more),,,,
30,benzyl alcohol,1438,1,benzyl alcohol,,,,
31,alcohol denat,1412,12,alcohol denat | alcohol denat. (sd alcohol 39-c) | alcohol denat. (sd alcohol 39c) ... (+9 more),,,,
32,xanthan gum,1373,1,xanthan gum,,,,
33,ci 19140 (yellow 5),1366,11,ci 19140 (yellow 5 | ci 19140 (yellow 5 lake) | ci 19140 (yellow 5) ... (+8 more),,,,
34,sodium hydroxide,1345,1,sodium hydroxide,,,,
35,cetearyl alcohol,1189,2,cetearyl alcohol | cetearyl alcohol*,,,,
36,jojoba oil,1163,10,hydrogenated jojoba oil | hydrolyzed jojoba esters | hydrolyzed jojoba protein ... (+7 more),,,,
37,panthenol,1150,3,panthenol | panthenol (pro vitamin b5) | panthenol (vitamin b5),,,,
38,benzyl salicylate,1112,1,benzyl salicylate,,,,
39,bht,1107,1,bht,,,,
40,ascorbic acid,1106,11,2-o-ethyl ascorbic acid | 3-o-ethyl ascorbic acid | aminopropyl ascorbyl phosphate ... (+8 more),,,,
41,tin oxide (ci 77861),1072,2,tin oxide | tin oxide (ci 77861),,,,
42,shea butter,1072,12,butyrospermum parkii (shea butter) | butyrospermum parkii (shea) butter | butyrospermum parkii (shea) butter extract ... (+9 more),,,,
43,squalane,1059,1,squalane,,,,
44,pentylene glycol,1037,1,pentylene glycol,,,,
45,talc,1035,1,talc,,,,
46,aloe barbadensis,1031,10,aloe barbadensis (aloe vera) leaf extract | aloe barbadensis (aloe vera) leaf juice | aloe barbadensis (aloe vera) leaf juice* ... (+7 more),,,,
47,synthetic fluorphlogopite,976,1,synthetic fluorphlogopite,,,,
48,benzyl benzoate,972,1,benzyl benzoate,,,,
49,coumarin,946,1,coumarin,,,,
50,hexyl cinnamal,931,1,hexyl cinnamal,,,,
51,alcohol,921,1,alcohol,,,,
52,2-hexanediol,919,1,2-hexanediol,,,,
53,ci 15850 (red 7),919,11,ci 15850 (red 6 | ci 15850 (red 6 lake) | ci 15850 (red 6) ... (+8 more),,,,
54,hydroxycitronellal,918,1,hydroxycitronellal,,,,
55,zinc stearate,909,1,zinc stearate,,,,
56,sodium chloride,891,1,sodium chloride,,,,
57,glyceryl stearate,880,2,glyceryl stearate | glyceryl stearate*,,,,
58,ci 42090 (blue 1),863,9,blue 1 (ci 42090) | blue 1 lake (ci 42090) | blue 1 lake) ... (+6 more),,,,
59,propylene glycol,854,6,peg-55 propylene glycol oleate | propylene glycol | propylene glycol dibenzoate ... (+3 more),,,,
60,alpha-isomethyl ionone,814,1,alpha-isomethyl ionone,,,,
61,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,804,1,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,,,,
62,carbomer,763,2,carbomer | sodium carbomer,,,,
63,cetyl alcohol,733,2,cetyl alcohol | cetyl alcohol*,,,,
64,camellia sinensis leaf extract,725,6,camellia sinensis (green tea) leaf extract | camellia sinensis (white tea) extract | camellia sinensis (white tea) leaf extract ... (+3 more),,,,
65,butyl methoxydibenzoylmethane,716,3,avobenzone 3% | avobenzone/butyl methoxydibenzoylmethane | butyl methoxydibenzoylmethane,,,,
66,chlorphenesin,697,1,chlorphenesin,,,,
67,triethoxycaprylylsilane,686,1,triethoxycaprylylsilane,,,,
68,stearic acid,685,1,stearic acid,,,,
69,ethylhexyl palmitate,676,1,ethylhexyl palmitate,,,,
70,sodium dehydroacetate,674,1,sodium dehydroacetate,,,,
71,cocos nucifera oil,673,9,coconut oil | cocos nucifera (coconut) fruit extract | cocos nucifera (coconut) fruit juice ... (+6 more),,,,
72,octyldodecanol,647,1,octyldodecanol,,,,
73,hexylene glycol,633,1,hexylene glycol,,,,
74,lecithin,619,1,lecithin,,,,
75,isododecane,607,1,isododecane,,,,
76,eugenol,605,1,eugenol,,,,
77,sodium citrate,599,1,sodium citrate,,,,
78,ultramarines (ci 77007),595,4,ci 77007 (ultramarines) | ci 77007 / ultramarines | ultramarines (ci 77007) ... (+1 more),,,,
79,polysorbate 20,594,1,polysorbate 20,,,,
80,polyethylene,590,1,polyethylene,,,,
81,boron nitride,578,1,boron nitride,,,,
82,octinoxate,563,1,ethylhexyl methoxycinnamate,,,,
83,rosmarinus officinalis extract,562,3,rosmarinus officinalis (rosemary) leaf extract | rosmarinus officinalis (rosemary) leaf oil | rosmarinus officinalis leaf extract,,,,
84,lactic acid,551,1,lactic acid,,,,
85,carmine (ci 75470),548,3,carmine | carmine (ci 75470) | ci 75470 (carmine),,,,
86,octyldodecyl stearoyl stearate,539,1,octyldodecyl stearoyl stearate,,,,
87,niacinamide,529,1,niacinamide,,,,
88,cyclopentasiloxane,515,1,cyclopentasiloxane,,,,
89,disteardimonium hectorite,505,1,disteardimonium hectorite,,,,
90,sorbic acid,502,1,sorbic acid,,,,
91,kaolin,500,1,kaolin,,,,
92,hydrogenated polyisobutene,499,1,hydrogenated polyisobutene,,,,
93,lauroyl lysine,490,1,lauroyl lysine,,,,
94,manganese violet (ci 77742),487,3,ci 77742 (manganese violet) | manganese violet (ci 77742) | manganese violet ci 77742,,,,
95,diisostearyl malate,486,1,diisostearyl malate,,,,
96,farnesol,482,1,farnesol,,,,
97,ethylhexyl salicylate,480,1,ethylhexyl salicylate,,,,
98,caffeine,475,1,caffeine,,,,
99,maltodextrin,467,1,maltodextrin,,,,
100,hydroxyethylcellulose,460,1,hydroxyethylcellulose,,,,
101,trimethylsiloxysilicate,458,1,trimethylsiloxysilicate,,,,
102,glyceryl caprylate,446,1,glyceryl caprylate,,,,
103,synthetic wax,440,1,synthetic wax,,,,
104,sodium pca,437,1,sodium pca,,,,
105,dipropylene glycol,433,1,dipropylene glycol,,,,
106,polybutene,428,1,polybutene,,,,
107,polysorbate 60,426,1,polysorbate 60,,,,
108,acrylates/c10-30 alkyl acrylate crosspolymer,420,1,acrylates/c10-30 alkyl acrylate crosspolymer,,,,
109,sorbitan isostearate,420,1,sorbitan isostearate,,,,
110,polymethylsilsesquioxane,418,1,polymethylsilsesquioxane,,,,
111,nylon-12,416,1,nylon-12,,,,
112,butylphenyl methylpropional,408,1,butylphenyl methylpropional,,,,
113,hydroxyacetophenone,405,1,hydroxyacetophenone,,,,
114,persea gratissima oil,403,4,persea gratissima (avocado) butter | persea gratissima (avocado) fruit extract | persea gratissima (avocado) oil ... (+1 more),,,,
115,leuconostoc/radish root ferment filtrate,400,1,leuconostoc/radish root ferment filtrate,,,,
116,bismuth oxychloride (ci 77163),399,3,bismuth oxychloride | bismuth oxychloride (ci 77163) | ci 77163 (bismuth oxychloride),,,,
117,sodium phytate,393,1,sodium phytate,,,,
118,propylene carbonate,393,1,propylene carbonate,,,,
119,hydrogenated lecithin,388,1,hydrogenated lecithin,,,,
120,salicylic acid,383,3,capryloyl salicylic acid | salicylic acid | salicylic acid 2%,,,,
121,aluminum hydroxide,379,1,aluminum hydroxide,,,,
122,isoeugenol,378,1,isoeugenol,,,,
123,calcium sodium borosilicate,377,1,calcium sodium borosilicate,,,,
124,cetrimonium chloride,377,2,cetrimonium chloride | cetrimonium chloride*,,,,
125,isopropyl alcohol,374,1,isopropyl alcohol,,,,
126,ci 45410 (red 28),372,8,ci 45410 (red 27 | ci 45410 (red 28 lake) | red 27 (ci 45410) ... (+5 more),,,,
127,phenyl trimethicone,371,1,phenyl trimethicone,,,,
128,argania spinosa kernel oil,366,4,argania spinosa (argan) kernel oil | argania spinosa (argan) kernel oil* | argania spinosa kernel oil ... (+1 more),,,,
129,benzoic acid,358,1,benzoic acid,,,,
130,ci 15985 (yellow 6),353,7,ci 15985 (yellow 6 | ci 15985 (yellow 6 lake) | ci 15985 (yellow 6) ... (+4 more),,,,
131,ci 14700 (red 4),352,5,ci 14700 (red 4) | ci 14700 / red 4 | ci 14700/red 4 ... (+2 more),,,,
132,behentrimonium chloride,343,1,behentrimonium chloride,,,,
133,bis-diglyceryl polyacyladipate-2,343,1,bis-diglyceryl polyacyladipate-2,,,,
134,arginine,340,1,arginine,,,,
135,trehalose,340,1,trehalose,,,,
136,acrylates copolymer,339,1,acrylates copolymer,,,,
137,ci 60730 (ext violet 2),339,6,ci 60730 (ext. violet 2) | ci 60730 (violet 2) | ci 60730 / ext. violet 2 ... (+3 more),,,,
138,calcium aluminum borosilicate,333,1,calcium aluminum borosilicate,,,,
139,allantoin,329,1,allantoin,,,,
140,coco-caprylate/caprate,328,1,coco-caprylate/caprate,,,,
141,alumina,328,1,alumina,,,,
142,palmitic acid,327,1,palmitic acid,,,,
143,peg-40 hydrogenated castor oil,325,1,peg-40 hydrogenated castor oil,,,,
144,betaine,318,1,betaine,,,,
145,ferric ferrocyanide (ci 77510),317,6,ci 77510 (ferric ammonium ferrocyanide) | ci 77510 (ferric ferrocyanide | ci 77510 (ferric ferrocyanide) ... (+3 more),,,,
146,peg-100 stearate,311,1,peg-100 stearate,,,,
147,dimethiconol,309,1,dimethiconol,,,,
148,trisodium ethylenediamine disuccinate,309,1,trisodium ethylenediamine disuccinate,,,,
149,cocamidopropyl betaine,306,1,cocamidopropyl betaine,,,,
150,ricinus communis (castor) seed oil,293,1,ricinus communis (castor) seed oil,,,,
151,hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,289,1,hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer,,,,
152,polysilicone-11,288,1,polysilicone-11,,,,
153,dehydroacetic acid,283,1,dehydroacetic acid,,,,
154,ci 17200 (red 33),282,5,ci 17200 (red 33) | ci 17200 / red 33 | ci 17200/red 33 ... (+2 more),,,,
155,isononyl isononanoate,281,1,isononyl isononanoate,,,,
156,guar hydroxypropyltrimonium chloride,280,1,guar hydroxypropyltrimonium chloride,,,,
157,stearyl alcohol,276,1,stearyl alcohol,,,,
158,prunus amygdalus dulcis (sweet almond) oil,272,2,prunus amygdalus dulcis (sweet almond) oil | prunus amygdalus dulcis (sweet almond) oil*,,,,
159,glycolic acid,270,1,glycolic acid,,,,
160,aminomethyl propanol,269,1,aminomethyl propanol,,,,
161,c12-15 alkyl benzoate,268,1,c12-15 alkyl benzoate,,,,
162,isohexadecane,266,1,isohexadecane,,,,
163,adenosine,264,1,adenosine,,,,
164,cinnamyl alcohol,258,1,cinnamyl alcohol,,,,
165,gluconolactone,258,1,gluconolactone,,,,
166,bisabolol,256,1,bisabolol,,,,
167,behenyl alcohol,252,1,behenyl alcohol,,,,
168,decyl glucoside,251,1,decyl glucoside,,,,
169,ceramide np,251,1,ceramide np,,,,
170,amodimethicone,248,1,amodimethicone,,,,
171,potassium hydroxide,246,1,potassium hydroxide,,,,
172,pentaerythrityl tetraisostearate,245,1,pentaerythrityl tetraisostearate,,,,
173,zea mays (corn) starch,243,1,zea mays (corn) starch,,,,
174,sodium lactate,241,1,sodium lactate,,,,
175,sorbitol,238,1,sorbitol,,,,
176,hdi/trimethylol hexyllactone crosspolymer,237,1,hdi/trimethylol hexyllactone crosspolymer,,,,
177,methicone,231,1,methicone,,,,
178,chamomilla recutita (matricaria) flower extract,231,2,chamomilla recutita (matricaria) flower extract | chamomilla recutita (matricaria) flower extract*,,,,
179,biotin,230,1,biotin,,,,
180,tromethamine,228,1,tromethamine,,,,
181,glycine soja (soybean) oil,226,1,glycine soja (soybean) oil,,,,
182,vitis vinifera (grape) seed oil,222,1,vitis vinifera (grape) seed oil,,,,
183,carthamus tinctorius (safflower) seed oil,222,1,carthamus tinctorius (safflower) seed oil,,,,
184,polyquaternium-7,221,1,polyquaternium-7,,,,
185,rosa canina fruit oil,221,5,rosa canina fruit (rose hip) extract | rosa canina fruit extract | rosa canina fruit oil ... (+2 more),,,,
186,sucrose,217,1,sucrose,,,,
187,polyhydroxystearic acid,217,1,polyhydroxystearic acid,,,,
188,sodium metabisulfite,217,1,sodium metabisulfite,,,,
189,cucumis sativus (cucumber) fruit extract,215,1,cucumis sativus (cucumber) fruit extract,,,,
190,tetrahexyldecyl ascorbate,214,1,tetrahexyldecyl ascorbate,,,,
191,phospholipids,213,1,phospholipids,,,,
192,polysorbate 80,213,1,polysorbate 80,,,,
193,polyquaternium-10,211,1,polyquaternium-10,,,,
194,sorbitan olivate,211,1,sorbitan olivate,,,,
195,oryza sativa (rice) bran extract,208,1,oryza sativa (rice) bran extract,,,,
196,paraffin,206,1,paraffin,,,,
197,ammonium acryloyldimethyltaurate/vp copolymer,202,1,ammonium acryloyldimethyltaurate/vp copolymer,,,,
198,disodium phosphate,202,1,disodium phosphate,,,,
199,glucose,202,1,glucose,,,,
200,pyrus malus (apple) fruit extract,200,1,pyrus malus (apple) fruit extract,,,,
201,sodium cocoyl isethionate,195,1,sodium cocoyl isethionate,,,,
202,glycyrrhiza glabra (licorice) root extract,195,1,glycyrrhiza glabra (licorice) root extract,,,,
203,cetearyl glucoside,194,1,cetearyl glucoside,,,,
204,synthetic beeswax,193,1,synthetic beeswax,,,,
205,pvp,193,1,pvp,,,,
206,hydrolyzed vegetable protein pg-propyl silanetriol,192,1,hydrolyzed vegetable protein pg-propyl silanetriol,,,,
207,tetrasodium glutamate diacetate,191,1,tetrasodium glutamate diacetate,,,,
208,magnesium myristate,190,1,magnesium myristate,,,,
209,glycine,189,1,glycine,,,,
210,olea europaea (olive) fruit oil,188,1,olea europaea (olive) fruit oil,,,,
211,linoleic acid,188,1,linoleic acid,,,,
212,sorbitan oleate,188,1,sorbitan oleate,,,,
213,cinnamal,186,1,cinnamal,,,,
214,polymethyl methacrylate,184,1,polymethyl methacrylate,,,,
215,polyglyceryl-2 triisostearate,184,1,polyglyceryl-2 triisostearate,,,,
216,palmitoyl tripeptide-1,183,1,palmitoyl tripeptide-1,,,,
217,cetearyl olivate,183,1,cetearyl olivate,,,,
218,acacia senegal gum,183,1,acacia senegal gum,,,,
219,serine,182,1,serine,,,,
220,melia azadirachta leaf extract,181,1,melia azadirachta leaf extract,,,,
221,caprylhydroxamic acid,179,1,caprylhydroxamic acid,,,,
222,phenethyl alcohol,178,1,phenethyl alcohol,,,,
223,citrus limon (lemon) fruit extract,178,1,citrus limon (lemon) fruit extract,,,,
224,cholesterol,177,1,cholesterol,,,,
225,saccharide isomerate,177,1,saccharide isomerate,,,,
226,xylitol,177,1,xylitol,,,,
227,cellulose,176,1,cellulose,,,,
228,ptfe,176,1,ptfe,,,,
229,glycol distearate,175,1,glycol distearate,,,,
230,dicaprylyl carbonate,174,1,dicaprylyl carbonate,,,,
231,curcuma longa (turmeric) root extract,172,1,curcuma longa (turmeric) root extract,,,,
232,magnesium stearate,172,1,magnesium stearate,,,,
233,triethanolamine,172,1,triethanolamine,,,,
234,calcium gluconate,171,1,calcium gluconate,,,,
235,cetyl esters,169,1,cetyl esters,,,,
236,ci 77288 (chromium oxide green),168,2,chromium oxide greens (ci 77288) | ci 77288 (chromium oxide greens),,,,
237,triethyl citrate,167,1,triethyl citrate,,,,
238,trideceth-12,167,1,trideceth-12,,,,
239,moringa oleifera seed oil,166,1,moringa oleifera seed oil,,,,
240,tribehenin,165,1,tribehenin,,,,
241,lactobacillus ferment,164,1,lactobacillus ferment,,,,
242,behentrimonium methosulfate,163,1,behentrimonium methosulfate,,,,
243,coco-glucoside,163,1,coco-glucoside,,,,
244,polyacrylate crosspolymer-6,163,1,polyacrylate crosspolymer-6,,,,
245,limnanthes alba (meadowfoam) seed oil,162,1,limnanthes alba (meadowfoam) seed oil,,,,
246,cetearyl ethylhexanoate,162,1,cetearyl ethylhexanoate,,,,
247,methylparaben,162,1,methylparaben,,,,
248,triethylhexanoin,161,1,triethylhexanoin,,,,
249,hydrogenated vegetable oil,158,1,hydrogenated vegetable oil,,,,
250,methyl methacrylate crosspolymer,157,1,methyl methacrylate crosspolymer,,,,
251,magnesium sulfate,156,1,magnesium sulfate,,,,
252,lavandula angustifolia (lavender) oil,156,1,lavandula angustifolia (lavender) oil,,,,
253,isopentyldiol,153,1,isopentyldiol,,,,
254,sodium phosphate,151,1,sodium phosphate,,,,
255,urea,151,1,urea,,,,
256,palmitoyl tetrapeptide-7,150,1,palmitoyl tetrapeptide-7,,,,
257,dicalcium phosphate,150,1,dicalcium phosphate,,,,
258,proline,149,1,proline,,,,
259,hydrogenated polydecene,149,1,hydrogenated polydecene,,,,
260,glyceryl stearate se,148,1,glyceryl stearate se,,,,
261,ci 77289 (chromium hydroxide green),147,2,chromium hydroxide green (ci 77289) | ci 77289 (chromium hydroxide green),,,,
262,algae extract,146,1,algae extract,,,,
263,potassium cetyl phosphate,145,1,potassium cetyl phosphate,,,,
264,oryza sativa (rice) extract,145,1,oryza sativa (rice) extract,,,,
265,sodium stearoyl glutamate,143,1,sodium stearoyl glutamate,,,,
266,hydrolyzed rice protein,143,1,hydrolyzed rice protein,,,,
267,mentha piperita (peppermint) oil,143,2,mentha piperita (peppermint) oil | mentha piperita (peppermint) oil*,,,,
268,amyl cinnamal,141,1,amyl cinnamal,,,,
269,polyquaternium-37,141,1,polyquaternium-37,,,,
270,isopropyl myristate,140,1,isopropyl myristate,,,,
271,vp/eicosene copolymer,140,1,vp/eicosene copolymer,,,,
272,phytic acid,139,1,phytic acid,,,,
273,caprylyl methicone,139,1,caprylyl methicone,,,,
274,sodium methyl cocoyl taurate,139,1,sodium methyl cocoyl taurate,,,,
275,sorbitan sesquioleate,139,1,sorbitan sesquioleate,,,,
276,ethylene/acrylic acid copolymer,139,1,ethylene/acrylic acid copolymer,,,,
277,vanillin,138,1,vanillin,,,,
278,citrullus lanatus (watermelon) fruit extract,138,1,citrullus lanatus (watermelon) fruit extract,,,,
279,polyisobutene,138,1,polyisobutene,,,,
280,vp/va copolymer,137,1,vp/va copolymer,,,,
281,sodium polyacrylate,137,1,sodium polyacrylate,,,,
282,benzophenone-4,136,1,benzophenone-4,,,,
283,ethylene/propylene/styrene copolymer,136,1,ethylene/propylene/styrene copolymer,,,,
284,citrus aurantium dulcis (orange) peel oil,136,2,citrus aurantium dulcis (orange) peel oil | citrus aurantium dulcis (orange) peel oil*,,,,
285,butylene/ethylene/styrene copolymer,135,1,butylene/ethylene/styrene copolymer,,,,
286,dipotassium glycyrrhizate,134,1,dipotassium glycyrrhizate,,,,
287,alanine,132,1,alanine,,,,
288,threonine,132,1,threonine,,,,
289,melia azadirachta flower extract,131,1,melia azadirachta flower extract,,,,
290,glycereth-26,131,1,glycereth-26,,,,
291,sodium gluconate,128,1,sodium gluconate,,,,
292,hydrogenated castor oil,127,1,hydrogenated castor oil,,,,
293,trideceth-6,127,1,trideceth-6,,,,
294,methyl trimethicone,126,1,methyl trimethicone,,,,
295,phenylalanine,126,1,phenylalanine,,,,
296,acetyl hexapeptide-8,126,1,acetyl hexapeptide-8,,,,
297,sclerotium gum,126,1,sclerotium gum,,,,
298,sodium lauroyl sarcosinate,126,1,sodium lauroyl sarcosinate,,,,
299,laureth-4,125,1,laureth-4,,,,
300,retinyl palmitate,124,1,retinyl palmitate,,,,
301,magnesium aluminum silicate,124,1,magnesium aluminum silicate,,,,
302,corallina officinalis extract,123,1,corallina officinalis extract,,,,
303,ceteareth-20,123,1,ceteareth-20,,,,
304,aluminum starch octenylsuccinate,123,1,aluminum starch octenylsuccinate,,,,
305,citrus aurantium dulcis (orange) fruit extract,122,1,citrus aurantium dulcis (orange) fruit extract,,,,
306,theobroma cacao (cocoa) seed butter,122,1,theobroma cacao (cocoa) seed butter,,,,
307,hydrogenated olive oil unsaponifiables,122,1,hydrogenated olive oil unsaponifiables,,,,
308,ozokerite,121,1,ozokerite,,,,
309,trihydroxystearin,120,1,trihydroxystearin,,,,
310,zingiber officinale (ginger) root extract,120,1,zingiber officinale (ginger) root extract,,,,
311,sclerocarya birrea seed oil,120,1,sclerocarya birrea seed oil,,,,
312,ci 16035 (red 40),120,3,ci 16035 (red 40) | red 40 (ci 16035) | red 40 lake (ci 16035),,,,
313,phytosphingosine,119,1,phytosphingosine,,,,
314,cellulose gum,119,1,cellulose gum,,,,
315,aspartic acid,119,1,aspartic acid,,,,
316,isostearic acid,119,1,isostearic acid,,,,
317,prunus armeniaca (apricot) kernel oil,119,1,prunus armeniaca (apricot) kernel oil,,,,
318,citrus limon (lemon) peel oil,119,2,citrus limon (lemon) peel oil | citrus limon (lemon) peel oil*,,,,
319,benzyl cinnamate,118,1,benzyl cinnamate,,,,
320,coconut alkanes,118,1,coconut alkanes,,,,
321,c11-15 pareth-7,118,1,c11-15 pareth-7,,,,
322,decylene glycol,118,1,decylene glycol,,,,
323,hydrogenated ethylhexyl olivate,116,1,hydrogenated ethylhexyl olivate,,,,
324,copernicia cerifera (carnauba) wax,116,1,copernicia cerifera (carnauba) wax,,,,
325,coconut acid,116,1,coconut acid,,,,
326,methylpropanediol,116,1,methylpropanediol,,,,
327,pelargonium graveolens flower oil,115,2,pelargonium graveolens flower oil | pelargonium graveolens flower oil*,,,,
328,sorbitan stearate,114,1,sorbitan stearate,,,,
329,hydrolyzed soy protein,114,1,hydrolyzed soy protein,,,,
330,caramel,114,1,caramel,,,,
331,algin,113,1,algin,,,,
332,valine,113,1,valine,,,,
333,cocamidopropyl hydroxysultaine,113,1,cocamidopropyl hydroxysultaine,,,,
334,cetyl ethylhexanoate,113,1,cetyl ethylhexanoate,,,,
335,dextrin,112,1,dextrin,,,,
336,pca,112,1,pca,,,,
337,pullulan,111,1,pullulan,,,,
338,isopropyl palmitate,111,1,isopropyl palmitate,,,,
339,stearamidopropyl dimethylamine,111,1,stearamidopropyl dimethylamine,,,,
340,laureth-7,111,1,laureth-7,,,,
341,hydrolyzed collagen,111,4,collagen | collagen amino acids | hydrolyzed collagen ... (+1 more),,,,
342,lauryl glucoside,110,1,lauryl glucoside,,,,
343,sodium c14-16 olefin sulfonate,110,1,sodium c14-16 olefin sulfonate,,,,
344,isoleucine,110,1,isoleucine,,,,
345,citrus aurantium bergamia (bergamot) fruit oil,110,2,citrus aurantium bergamia (bergamot) fruit oil | citrus aurantium bergamia (bergamot) fruit oil*,,,,
346,histidine,109,1,histidine,,,,
347,cyclohexasiloxane,108,1,cyclohexasiloxane,,,,
348,mangifera indica (mango) seed butter,107,1,mangifera indica (mango) seed butter,,,,
349,sodium laureth sulfate,107,1,sodium laureth sulfate,,,,
350,c10-18 triglycerides,107,1,c10-18 triglycerides,,,,
351,steareth-20,106,1,steareth-20,,,,
352,myristic acid,106,1,myristic acid,,,,
353,ppg-26-buteth-26,106,1,ppg-26-buteth-26,,,,
354,sodium lauroyl methyl isethionate,106,1,sodium lauroyl methyl isethionate,,,,
355,menthol,105,1,menthol,,,,
356,ocimum sanctum leaf extract,105,1,ocimum sanctum leaf extract,,,,
357,tridecyl trimellitate,105,1,tridecyl trimellitate,,,,
358,retinol,104,1,retinol,,,,
359,vanilla planifolia fruit extract,104,1,vanilla planifolia fruit extract,,,,
360,acetic acid,104,1,acetic acid,,,,
361,panax ginseng root extract,104,1,panax ginseng root extract,,,,
362,chondrus crispus extract,103,1,chondrus crispus extract,,,,
363,vp/hexadecene copolymer,103,1,vp/hexadecene copolymer,,,,
364,peg-8,103,1,peg-8,,,,
365,butyloctyl salicylate,103,1,butyloctyl salicylate,,,,
366,polyglycerin-3,102,1,polyglycerin-3,,,,
367,acetyl glucosamine,102,1,acetyl glucosamine,,,,
368,myristyl myristate,101,1,myristyl myristate,,,,
369,euphorbia cerifera (candelilla) wax,101,1,euphorbia cerifera (candelilla) wax,,,,
370,petrolatum,101,1,petrolatum,,,,
371,hydrolyzed quinoa,100,1,hydrolyzed quinoa,,,,
372,dimethyl isosorbide,100,1,dimethyl isosorbide,,,,
373,astrocaryum murumuru seed butter,100,1,astrocaryum murumuru seed butter,,,,
374,centella asiatica extract,99,1,centella asiatica extract,,,,
375,dicaprylyl ether,98,1,dicaprylyl ether,,,,
376,disodium stearoyl glutamate,96,1,disodium stearoyl glutamate,,,,
377,microcrystalline wax/cera microcristallina/cire microcristalline,96,2,microcrystalline wax/cera microcristallina/cire microcristalline | microcrystalline wax\\cera microcristallina\\cire microcristalline,,,,
378,stearalkonium hectorite,95,1,stearalkonium hectorite,,,,
379,glyceryl stearate citrate,95,1,glyceryl stearate citrate,,,,
380,propylparaben,94,1,propylparaben,,,,
381,anhydroxylitol,94,1,anhydroxylitol,,,,
382,avena sativa (oat) kernel extract,93,1,avena sativa (oat) kernel extract,,,,
383,xylitylglucoside,93,1,xylitylglucoside,,,,
384,yeast extract/faex/extrait de levure,93,2,yeast extract/faex/extrait de levure | yeast extract\\faex\\extrait de levure,,,,
385,polyglyceryl-3 diisostearate,92,1,polyglyceryl-3 diisostearate,,,,
386,red 30 lake (ci 73360),91,1,red 30 lake (ci 73360),,,,
387,laminaria saccharina extract,91,1,laminaria saccharina extract,,,,
388,hydrolyzed wheat protein,90,1,hydrolyzed wheat protein,,,,
389,capryloyl glycerin/sebacic acid copolymer,90,1,capryloyl glycerin/sebacic acid copolymer,,,,
390,sodium isethionate,90,1,sodium isethionate,,,,
391,coco-betaine,90,1,coco-betaine,,,,
392,cera alba (beeswax),90,1,cera alba (beeswax),,,,
393,diheptyl succinate,89,1,diheptyl succinate,,,,
394,c13-15 alkane,89,1,c13-15 alkane,,,,
395,coccinia indica fruit extract,89,1,coccinia indica fruit extract,,,,
