rank,canonical_name,total_mentions,variant_count,example_variants,risk_level,sub_weight,source,health_concern
1206,avena sativa (oat) bran extract,20,1,avena sativa (oat) bran extract,,,,
1207,silicone quaternium-3,20,1,silicone quaternium-3,,,,
1208,sodium,20,1,sodium,,,,
1209,plukenetia volubilis seed oil,20,1,plukenetia volubilis seed oil,,,,
1210,c20-24 olefin,20,1,c20-24 olefin,,,,
1211,green 5 (ci 61570),20,1,green 5 (ci 61570),,,,
1212,melissa officinalis leaf extract,20,1,melissa officinalis leaf extract,,,,
1213,cera alba/beeswax,20,1,cera alba/beeswax,,,,
1214,bambusa arundinacea stem extract,20,1,bambusa arundinacea stem extract,,,,
1215,rhus succedanea fruit wax,20,1,rhus succedanea fruit wax,,,,
1216,diazolidinyl urea,20,1,diazolidinyl urea,,,,
1217,glyceryl triacetyl ricinoleate,20,1,glyceryl triacetyl ricinoleate,,,,
1218,quaternium-90 bentonite,20,1,quaternium-90 bentonite,,,,
1219,olea europaea (olive) fruit extract,20,1,olea europaea (olive) fruit extract,,,,
1220,hydrolyzed wheat starch,20,1,hydrolyzed wheat starch,,,,
1221,dimethylimidazolidinone rice starch,20,1,dimethylimidazolidinone rice starch,,,,
1222,phenylpropyldimethylsiloxysilicate,20,1,phenylpropyldimethylsiloxysilicate,,,,
1223,hydrolyzed yeast protein,20,1,hydrolyzed yeast protein,,,,
1224,emblica officinalis fruit extract,20,1,emblica officinalis fruit extract,,,,
1225,lauryl lactate,20,1,lauryl lactate,,,,
1226,palmitoyl grapevine shoot extract,20,1,palmitoyl grapevine shoot extract,,,,
1227,cucumis melo (melon) fruit extract,20,1,cucumis melo (melon) fruit extract,,,,
1228,withania somnifera root extract,20,1,withania somnifera root extract,,,,
1229,lithothamnion calcareum extract,20,1,lithothamnion calcareum extract,,,,
1230,cyclomethicone,20,1,cyclomethicone,,,,
1231,polyglyceryl-2 isostearate/dimer dilinoleate copolymer,20,1,polyglyceryl-2 isostearate/dimer dilinoleate copolymer,,,,
1232,ficus carica (fig) fruit extract,20,1,ficus carica (fig) fruit extract,,,,
1233,sea whip extract,20,1,sea whip extract,,,,
1234,tetrahydroxypropyl ethylenediamine,20,1,tetrahydroxypropyl ethylenediamine,,,,
1235,disodium lauryl sulfosuccinate,20,1,disodium lauryl sulfosuccinate,,,,
1236,piper nigrum (black pepper) seed extract,20,1,piper nigrum (black pepper) seed extract,,,,
1237,citrus aurantifolia (lime) fruit extract,20,1,citrus aurantifolia (lime) fruit extract,,,,
1238,microcrystalline wax/cera microcristallina/cire microcrystalline,20,1,microcrystalline wax/cera microcristallina/cire microcrystalline,,,,
1239,daucus carota sativa (carrot) extract,20,1,daucus carota sativa (carrot) extract,,,,
1240,sodium cocoamphoacetate,20,1,sodium cocoamphoacetate,,,,
1241,red 22,20,1,red 22,,,,
1242,vaccinium myrtillus fruit/leaf extract,20,1,vaccinium myrtillus fruit/leaf extract,,,,
1243,canola oil,20,1,canola oil,,,,
1244,ceratonia siliqua (carob) gum,20,1,ceratonia siliqua (carob) gum,,,,
1245,kaempferia galanga root extract,20,1,kaempferia galanga root extract,,,,
1246,trideceth-5,20,1,trideceth-5,,,,
1247,citrus unshiu peel extract,20,1,citrus unshiu peel extract,,,,
1248,glyceryl linolenate,20,1,glyceryl linolenate,,,,
1249,trimethylolpropane triethylhexanoate,20,1,trimethylolpropane triethylhexanoate,,,,
1250,sorbeth-230 tetraoleate,20,1,sorbeth-230 tetraoleate,,,,
1251,polygonatum odoratum rhizome extract,20,1,polygonatum odoratum rhizome extract,,,,
1252,dunaliella salina extract,19,1,dunaliella salina extract,,,,
1253,polyquaternium-55,19,1,polyquaternium-55,,,,
1254,hectorite,19,1,hectorite,,,,
1255,maltodextrin/vp copolymer,19,1,maltodextrin/vp copolymer,,,,
1256,sodium chondroitin sulfate,19,1,sodium chondroitin sulfate,,,,
1257,sisymbrium irio seed oil,19,1,sisymbrium irio seed oil,,,,
1258,vitis vinifera (grape) juice extract,19,1,vitis vinifera (grape) juice extract,,,,
1259,peg-20 glyceryl triisostearate,19,1,peg-20 glyceryl triisostearate,,,,
1260,methyl dihydroabietate,19,1,methyl dihydroabietate,,,,
1261,ethyl ferulate,19,1,ethyl ferulate,,,,
1262,thermus thermophillus ferment,19,1,thermus thermophillus ferment,,,,
1263,oleic/linoleic/linolenic polyglycerides,19,1,oleic/linoleic/linolenic polyglycerides,,,,
