variant_group,ingredient_variant,frequency
water,(water,1
water,* water/eau/aqua,7
water,\raqua (water),1
water,adwoa blue tansy reparative mask water (aqua),1
water,alcohol denat /aqua/eau,1
water,aloe barbadensis leaf water,26
water,anthemis nobilis flower water,3
water,aphanizomenon flos-aquae extract,4
water,aqua,49
water,aqua (water,210
water,aqua (water / eau),1
water,aqua (water),702
water,aqua (water) butylene glycol,1
water,aqua (water) c9-12 alkane,1
water,aqua (water)**,6
water,aqua (water). may contain (+/-) ci 77491 (iron oxides),1
water,aqua (water)dihydroxyacetone,1
water,aqua (water/ eau),2
water,aqua (water/eau),46
water,aqua - water - eau,2
water,aqua / water,84
water,aqua / water / eau,124
water,aqua / water glycerin dimethicone squalane bis-peg-18 methyl ether dimethyl silane sucrose stearate stearyl alcohol peg-8 stearate myristyl myristate prunus armeniaca kernel oil / apricot kernel oil phenoxyethanol persea gratissima oil / avocado oil glyceryl stearate cetyl alcohol oryza sativa bran oil / rice bran oil olea europaea fruit oil / olive fruit oil chlorphenesin stearic acid palmitic acid carbomer acrylates/c10-30 alkyl acrylate crosspolymer trisodium ethylenediamine disuccinate prunus amygdalus dulcis oil / sweet almond oil xanthan gum ethylhexylglycerin sodium hydroxide tocopherol c1 - internal use glycine soja oil / soybean oil pseudoalteromonas ferment extract myristic acid hydroxypalmitoyl sphinganine salicylic acid helianthus annuus seed oil / sunflower seed oil rosmarinus officinalis leaf extract / rosemary leaf extract citric acid,2
water,aqua / water linalool,1
water,aqua /water,3
water,aqua /water/eau,1
water,aqua ‑water,2
water,aqua(water,2
water,aqua(water),5
water,aqua/water,176
water,aqua/water /eau,1
water,aqua/water paraffin potassium cetyl phosphate copernicia cerifera cera/carnauba wax ethylene/acrylic acid copolymer styrene/acrylates/ammonium methacrylate copolymer cera alba/beeswax synthetic beeswax bis-diglyceryl polyacyladipate-2 polybutene cetyl alcohol steareth-20 glyceryl dibehenate steareth-2 c12-13 pareth-23 c12-13 pareth-3 tribehenin acacia senegal gum glyceryl behenate sodium laureth sulfate silica divinyldimethicone/dimethicone copolymer disodium edta hydrogenated jojoba oil hydrogenated palm oil hydroxyethylcellulose caprylyl glycol tetrasodium edta ethylenediamine/stearyl dimer dilinoleate copolymer butylene glycol bht pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate potassium sorbate sodium dehydroacetate phenoxyethanol may contain ci 75470/carmine ci 77007 /ultramarines ci 77491,1
water,aqua/water. sodium laureth sulfate. coco-betaine. laureth-5 carboxylic acid. cocamide mipa. imodimethicone. sodium chloride. polyquaternium-10. ppg-5-ceteth-20. sodium benzoate. benzophenone-4. peg-55 propylene glycol oleate. propylene glycol. salicylic acid. sodium hydroxide. benzyl salicylate. benzyl alcohol. citronellol. linalool. methyl cocoate. geraniol. sodium cocoate. shorea robusta butter. shorea robusta seed butter. ci 19140/yellow 5. ci 14700/red 4. citric acid. parfum/fragrance,1
water,aqua/water/ eau,4
water,aqua/water/eau,1089
water,aqua/water/eau coco-caprylate/caprate hydrogenated polyisobutene glycerin,1
water,aqua/water/eau geraniol,1
water,aqua/water/eau limonene,1
water,aquaxyltm,1
water,astrocaryum murumuru water/aqua/eau,1
water,beautyblender sponge,1
water,benzyl alcohol. vegamour gro revitalizing conditioner water,1
water,botanical blend aqua,2
water,c263869/1 aqua / water / eau,1
water,c263871/1 aqua / water / eau,1
water,carthamus tinctorius (safflower) seed extract. color wow dream coat supernatural spray aqua/water,1
water,centaurea cyanus flower water,29
water,centella asiatica leaf water,4
water,chamaecyparis obtusa water,3
water,chamomilla recutita (matricaria) flower water,3
water,ci 60730 (ext. violet 2) #16611 aqua (water),1
water,citrullus lanatus (watermelon) extract,1
water,citrullus lanatus (watermelon) fruit,2
water,citrullus lanatus (watermelon) fruit extract,138
water,citrullus lanatus (watermelon) fruit juice,2
water,citrullus lanatus (watermelon) seed extract,6
water,citrullus lanatus (watermelon) seed oil,70
water,citrullus vulgaris (watermellon) fruit extract,1
water,citrullus vulgaris (watermelon) fruit extract,12
water,citrullus vulgaris (watermelon) seed oil,5
water,citrullus vulgaris fruit extract (citrullus vulgaris (watermelon) fruit extract),1
water,citrus aurantium amara (bitter orange) flower water,11
water,citrus aurantium amara (bitter orange) flower water extract,1
water,citrus aurantium bergamia (bergamot) fruit water,2
water,citrus aurantium dulcis (orange) fruit water,5
water,citrus aurantium dulcis (organic orange) fruit water,1
water,citrus limon (lemon) fruit water,1
water,citrus limon fruit water,1
water,citrus tangerina (tangerine) fruit water,2
water,cl (clinique)water,4
water,coconut water,1
water,cocos nucifera (coconut) fruit water,5
water,cocos nucifera (coconut) liquid endosperm /cocos nucifera (coconut) water,1
water,cocos nucifera (coconut) water,14
water,cocos nucifera (coconut) water (organic),1
water,cocos nucifera (coconut) water/cocos nucifera water,2
water,cocos nucifera (coconut/nuix de coco) water,8
water,cocos nucifera water,1
water,cocos nucifera water/cocos nucifera (coconut) liquid endosperm,2
water,cucumis sativus (cucumber) fruit water,8
water,cupuacu and murumuru butters aqua (water,1
water,declustered water (+)/aqua/eau de-structuree (+),1
water,declustered water (+)\\aqua\\eau de-structuree (+),8
water,declustered water (-)/aqua/eau de-structuree (-),1
water,declustered water (-)\\aqua\\eau de-structuree (-),7
water,deionized water,2
water,distilled water,17
water,eau,3
water,eau de mer),4
water,eau),260
water,eau/aqua/water,1
water,emblica officinalis (gooseberry/groseille a maquereau) fruit extract,5
water,emblica officinalis (gooseberry/groseille à maquereau) fruit extract,1
water,ethylhexyl salicylate. water (aqua),2
water,eucalyptus globulus leaf water,3
water,extract blend water,1
water,extract blend water/ eau/ aqua,1
water,extract blend water/eau/aqua,1
water,fragrance/parfum. dae moonsoon moisture mask water,1
water,fruit enzymes water/eau,1
water,gossypium herbaceum (cotton) fruit water,2
water,hamamelis virginiana (witch hazel) flower water,3
water,hamamelis virginiana (witch hazel) water,69
water,hamamelis virginiana (witch hazel) water*,6
water,hamamelis virginiana (witch hazel/ hamamélis) water,1
water,hamamelis virginiana water (hamamelis virginiana (witch hazel) water),1
water,hamamelis virginiana water/witch hazel water,1
water,hamamelis witch hazel water,1
water,ionized water,1
water,jasminum officinale (jasmine) flower water,2
water,lactobacillus/watermelon fruit ferment extract,6
water,lavan dula angustifolia (lavender) flower water,1
water,lavandula angustifolia (lavender) flower water,12
water,lavandula angustifolia (lavender) flower/leaf/stem water,1
water,lavandula angustifolia (lavender) flower/leaf/stem water*,4
water,lavender flower/leaf/stem water*,1
water,limonene. k18 biomimetic hairscience water (aqua) (eau),1
water,linalool. *napiers original formula. +napiers aqua formula. ++fragrances,1
water,linalool. jvn complete air dry cream water/aqua/eau,1
water,maris aqua,1
water,maris aqua (sea water,3
water,maris aqua (sea water),9
water,maris aqua / sea water,1
water,maris aqua/ sea water (maris aqua),1
water,maris aqua/sea water,3
water,maris aqua/sea water (maris aqua),1
water,maris aqua/sea water/eau de mer,11
water,maris sea water,1
water,melaleuca alternifolia (tea tree) leaf water,1
water,mentha aquatica leaf extract,2
water,mentha piperita (peppermint) leaf water,6
water,miss dior eau de parfum,1
water,miss dior eau de parfum pre-filled,1
water,moringa oleifera leaf water,10
water,myrtus communis (myrtle) leaf water,3
water,nelumbo nucifera (lotus) flower water,2
water,nymphaea alba (water lily) flower extract,3
water,octocrylene 2.70%water,1
water,opuntia ficus-indica stem water,2
water,orange fruit water,2
water,organic cane sugar alcohol and distilled water,7
water,oryza sativa (longsheng rice) water,6
water,oryza sativa (rice) bran water,4
water,panax ginseng root water,1
water,pelargonium graveolens flower/leaf/stem water,4
water,phenoxyethanol. ceremonia guava leave-in conditioner water,1
water,prunus cerasus (bitter cherry) fruit water,2
water,prunus persica (peach) fruit water,2
water,purified water,26
water,purified water and carmel),1
water,purifiedwater,1
water,pyrus malus (apple) fruit water,9
water,qua/water/eau,1
water,replica autumn vibes eau de toilette,1
water,rosa centifolia flower water,13
water,rosa damascena (rose) flower water,5
water,rosa damascena flower water,64
water,rosa damascena flower water*,9
water,rose centifolia flower water,1
water,rosie eau de parfum,1
water,rosmarinus officinalis (rosemary) flower/leaf/stem water,1
water,rosmarinus officinalis (rosemary) leaf water,2
water,rubus idaeus (raspberry fruit water,1
water,saccharomyces/rice ferment filtrate (fermented rice water),1
water,salvia officinalis (sage) flower/leaf/stem water,2
water,sambucus nigra flower water,1
water,sasa kurilensis water,1
water,sea water,17
water,sea water (maris aqua,1
water,sea water (maris aqua),1
water,sea water (maris aqua/eau de mer),2
water,sea water extract,1
water,sea water/maris aqua/eau de mer,10
water,sea water\\aqua maris\\maris aqua,1
water,sodium saccharin water,1
water,soft water,1
water,tetrasodium eau de toilettea,1
water,titanium dioxide 1.5%water,1
water,titanium dioxide 1.7%water,1
water,titanium dioxide 1.70%water,1
water,vegetable capsule (cellulose & water),2
water,vigna radiata sprout extract. vegamour gro revitalizing shampoo water,1
water,vitis vinifera (grape) fruit water,13
water,vitis vinifera (grape) fruit water*,3
water,water,1833
water,water (and) camellia oleifera leaf extract,1
water,water (aqua,48
water,water (aqua / eau),5
water,water (aqua /eau),6
water,water (aqua eau),1
water,water (aqua purificata) purified,1
water,water (aqua),333
water,water (aqua) (eau),8
water,water (aqua) ceteareth-30,1
water,water (aqua) ethylhexyl methoxycinnamate,2
water,water (aqua)**,1
water,water (aqua)contains amyl cinnamal,1
water,water (aqua/eau),135
water,water (eau),13
water,water / aqua / eau,68
water,water /aqua / eau,1
water,water dihydroxyacetone,1
water,water hamamelis virginiana (witch hazel/hamamélis) water,1
water,water hydrogenated rosinate,1
water,water prunus amygdalus dulcis (sweet almond) oil,1
water,water sodium cocoyl isethionate,1
water,water squalane,1
water,water(aqua/eau),26
water,water),2
water,water**,6
water,water** (and) aloe barbadensis (aloe vera) leaf juice*,1
water,water** (and) argania spinosa (argan),1
water,water/ aqua,1
water,water/ aqua/ eau,2
water,water/ aqua/eau,1
water,water/aqua,59
water,water/aqua /eau,1
water,water/aqua/ eau,4
water,water/aqua/eau,1043
water,water/aqua/eau (and) camellia oleifera leaf extract,2
water,water/aqua/eau (aqua),5
water,water/aqua/eau hydrator,1
water,water/aqua/eau*,1
water,water/aqua/edu,1
water,water/aqua/eua,2
water,water/eau,30
water,water/eau/ aqua,4
water,water/eau/aqua,114
water,water/witch hazel water,1
water,water\\aqua\\eau,233
water,water\aqua\eau,3
water,watermelon fruit extract,1
water,watermelon w/n (17136099),1
water,water⁄aqua⁄eau,1
water,white water lily extract,1
water,witch hazel leaf water,1
water,witch hazel water,3
water,zinc oxide 4.0%water,2
water,zinc oxide 6.90%water,1
water,zingiber officinale (ginger) water,5
alcohol,(sd alcohol 40-b),3
alcohol,*alcohol denat,1
alcohol,75% vol. alcohol denat,2
alcohol,78% vol. alcohol denat,1
alcohol,acetamidoethoxyethanol,5
alcohol,adipic acid/fumaric acid/phthalic acid /tricyclodecane dimethanol copolymer,3
alcohol,adipic acid/fumaric acid/phthalic acid/tricyclodecane dimethanol copolymer,2
alcohol,alcohol denat,1046
alcohol,alcohol denat (sd alcohol 39-c),3
alcohol,alcohol denat /aqua/eau,1
alcohol,alcohol denat. (alcohol),1
alcohol,alcohol denat. (sd alcohol 39-c .),1
alcohol,alcohol denat. (sd alcohol 39-c),38
alcohol,alcohol denat. (sd alcohol 39-c.),2
alcohol,alcohol denat. (sd alcohol 39c),20
alcohol,alcohol denat. (sd alcohol 40-b),24
alcohol,alcohol denat. 75% vol,1
alcohol,alcohol denat. dimethicone/vinyl dimethicone crosspolymer,1
alcohol,alcohol denat. parfum (fragrance),2
alcohol,alcohol denat.**,2
alcohol,alcohol denat./ sd alcohol 40-b,1
alcohol,alcohol denat./sd alcohol 40-b,7
alcohol,alcohol denatured,1
alcohol,aqua / water glycerin dimethicone squalane bis-peg-18 methyl ether dimethyl silane sucrose stearate stearyl alcohol peg-8 stearate myristyl myristate prunus armeniaca kernel oil / apricot kernel oil phenoxyethanol persea gratissima oil / avocado oil glyceryl stearate cetyl alcohol oryza sativa bran oil / rice bran oil olea europaea fruit oil / olive fruit oil chlorphenesin stearic acid palmitic acid carbomer acrylates/c10-30 alkyl acrylate crosspolymer trisodium ethylenediamine disuccinate prunus amygdalus dulcis oil / sweet almond oil xanthan gum ethylhexylglycerin sodium hydroxide tocopherol c1 - internal use glycine soja oil / soybean oil pseudoalteromonas ferment extract myristic acid hydroxypalmitoyl sphinganine salicylic acid helianthus annuus seed oil / sunflower seed oil rosmarinus officinalis leaf extract / rosemary leaf extract citric acid,2
alcohol,aqua/water paraffin potassium cetyl phosphate copernicia cerifera cera/carnauba wax ethylene/acrylic acid copolymer styrene/acrylates/ammonium methacrylate copolymer cera alba/beeswax synthetic beeswax bis-diglyceryl polyacyladipate-2 polybutene cetyl alcohol steareth-20 glyceryl dibehenate steareth-2 c12-13 pareth-23 c12-13 pareth-3 tribehenin acacia senegal gum glyceryl behenate sodium laureth sulfate silica divinyldimethicone/dimethicone copolymer disodium edta hydrogenated jojoba oil hydrogenated palm oil hydroxyethylcellulose caprylyl glycol tetrasodium edta ethylenediamine/stearyl dimer dilinoleate copolymer butylene glycol bht pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate potassium sorbate sodium dehydroacetate phenoxyethanol may contain ci 75470/carmine ci 77007 /ultramarines ci 77491,1
alcohol,aqua/water. sodium laureth sulfate. coco-betaine. laureth-5 carboxylic acid. cocamide mipa. imodimethicone. sodium chloride. polyquaternium-10. ppg-5-ceteth-20. sodium benzoate. benzophenone-4. peg-55 propylene glycol oleate. propylene glycol. salicylic acid. sodium hydroxide. benzyl salicylate. benzyl alcohol. citronellol. linalool. methyl cocoate. geraniol. sodium cocoate. shorea robusta butter. shorea robusta seed butter. ci 19140/yellow 5. ci 14700/red 4. citric acid. parfum/fragrance,1
alcohol,benzeneethanol benzoic acid,2
alcohol,benzyl alcohol,1438
alcohol,benzyl alcohol 100-51-6,2
alcohol,benzyl alcohol <iln37153>,1
alcohol,benzyl alcohol*,1
alcohol,benzyl alcohol*. *coconut,1
alcohol,benzyl alcohol. vegamour gro revitalizing conditioner water,1
alcohol,benzyl alcohol.(+/,1
alcohol,benzyl alcohol/ benzyl salicylate,1
alcohol,benzyl salicylate. benzyl alcohol,3
alcohol,coconut alcohol (non-denatured alcohol made from fermented coconut),1
alcohol,cyclohexanemethanol,12
alcohol,denat. (sd alcohol 39 c),2
alcohol,denat. (sd alcohol 39-c),7
alcohol,denatured alcohol,5
alcohol,edt vol. 72% - alcohol denat.(sd alcohol 39c),1
alcohol,edt vol. 78% - alcohol denat.(sd alcohol 39-c),1
alcohol,ethanol,6
alcohol,ethanolamine,6
alcohol,isopropanol isopropyl alcohol,1
alcohol,isopropyl alcohol,374
alcohol,isopropyl alcohol isopropyl,2
alcohol,methylparaben phenoxyethanol,1
alcohol,nylon-6 - phenoxyethanol,1
alcohol,organic sugar cane alcohol denat,27
alcohol,organic sugarcane alcohol denat,8
alcohol,phenoxethanol,1
alcohol,phenoxy-ethanol,1
alcohol,phenoxyethanol,4266
alcohol,phenoxyethanol  * hadasei-3,1
alcohol,phenoxyethanol  *hadasei-3,2
alcohol,phenoxyethanol (less than 1%) ethylhexylglycerin (less than 1%),1
alcohol,phenoxyethanol (preservative),8
alcohol,phenoxyethanol <iln29490>,2
alcohol,phenoxyethanol <iln32198>,1
alcohol,phenoxyethanol <iln34154>,1
alcohol,phenoxyethanol <iln35042>,1
alcohol,phenoxyethanol <iln36349>,1
alcohol,phenoxyethanol <iln36781>,1
alcohol,phenoxyethanol <iln38298>,1
alcohol,phenoxyethanol <iln38438>,1
alcohol,phenoxyethanol <iln38467>,1
alcohol,phenoxyethanol <iln38656>* essential oil,1
alcohol,phenoxyethanol <iln39203>,1
alcohol,phenoxyethanol <iln39205>,1
alcohol,phenoxyethanol <iln39538>,1
alcohol,phenoxyethanol <iln39544>,1
alcohol,phenoxyethanol <iln39546>,1
alcohol,phenoxyethanol <iln39548>,1
alcohol,phenoxyethanol <iln40189>,1
alcohol,phenoxyethanol <iln40437>* essential oil,1
alcohol,phenoxyethanol <iln40726>,1
alcohol,phenoxyethanol <iln40877>,1
alcohol,phenoxyethanol <iln40996>,1
alcohol,phenoxyethanol <iln41131>,1
alcohol,phenoxyethanol <iln41265>,1
alcohol,phenoxyethanol <iln41561>,1
alcohol,phenoxyethanol <iln41569>,1
alcohol,phenoxyethanol <iln41738>,1
alcohol,phenoxyethanol <iln41741>,1
alcohol,phenoxyethanol <iln41782>,1
alcohol,phenoxyethanol <iln41899>,1
alcohol,phenoxyethanol <iln41900>,1
alcohol,phenoxyethanol <iln41968>,1
alcohol,phenoxyethanol <iln41974>,1
alcohol,phenoxyethanol <iln42038>,1
alcohol,phenoxyethanol <iln42077>,1
alcohol,phenoxyethanol <iln42228>,1
alcohol,phenoxyethanol <iln42266>,1
alcohol,phenoxyethanol <iln42313>,1
alcohol,phenoxyethanol <iln42692>,1
alcohol,phenoxyethanol <iln43148>,1
alcohol,phenoxyethanol <iln43555>,1
alcohol,phenoxyethanol <iln45124>,2
alcohol,phenoxyethanol <iln47666>,1
alcohol,phenoxyethanol <iln49540>,1
alcohol,phenoxyethanol <iln49662>,1
alcohol,phenoxyethanol <iln50363>,1
alcohol,phenoxyethanol <iln50383>,1
alcohol,phenoxyethanol <iln51130>,1
alcohol,phenoxyethanol chlorphenesin,2
alcohol,phenoxyethanol propylene glycol,1
alcohol,phenoxyethanol. (+/-) titanium dioxide (ci 77891),1
alcohol,phenoxyethanol. *hadasei-3,3
alcohol,phenoxyethanol. *organic. **natural,2
alcohol,phenoxyethanol. +/- mica,1
alcohol,phenoxyethanol. acrylates/c10-30 alkyl acrylate crosspolymer,1
alcohol,phenoxyethanol. ceremonia guava leave-in conditioner water,1
alcohol,phenoxyethanol. may contain (+/-) mica,3
alcohol,phenoxyethanol. may contain (+/-) red 40 lake/ci 16035,1
alcohol,phenoyxethanol,3
alcohol,phenxyethanol,2
alcohol,polybutene; hydrogenated polyisobutene; dextrin palmitate; bis-diglyceryl polyacyladipate-2; polydecene; magnolia officinalis bark extract; limnanthes alba (meadowfoam) seed oil; lecithin; caprylyl glycol; simethicone; pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate; hexylene glycol; fragrance (parfum); phenoxyethanol; +/- titanium dioxide (ci 77891); iron oxides (ci 77491,1
alcohol,ptfe phenoxyethanol,1
alcohol,scented recycled paper alcohol denat,1
alcohol,sd alcohol (alcohol denat.),1
alcohol,sd alcohol 39-b (alcohol denat.),1
alcohol,sd alcohol 39-c,2
alcohol,sd alcohol 40-a,1
alcohol,sd alcohol 40-b,20
alcohol,sd alcohol 40-b (alcohol denat.),119
alcohol,sd alcohol 40-b*,1
alcohol,sd alcohol 40-b/alcohol denat,32
alcohol,sd alcohol 40b,2
alcohol,sd alcohol 40b (alcohol denat.),7
alcohol,sd-alcohol 40-b (alcohol denat.),26
alcohol,spray liquid deodorant. organic alcohol denat,2
alcohol,stearic acid phenoxyethanol,1
alcohol,stearic acidl phenoxyethanol,1
alcohol,sugar cane alcohol denat,22
alcohol,sugarcane alcohol denat,25
alcohol,triethanolamine,172
alcohol,tsd-alcohol 40-b (alcohol denat.),1
fragrance,(fragrance),3
fragrance,*fragrance (parfum),1
fragrance,2 hexanediol parfum (fragrance),1
fragrance,\rparfum (fragrance),1
fragrance,alcohol denat. parfum (fragrance),2
fragrance,all natural fragrance,1
fragrance,amber musk fragrance,1
fragrance,amber musk fragrance (parfum),2
fragrance,and fragrance with a cotton wick,5
fragrance,and fragrance/parfum*,1
fragrance,aqua/water. sodium laureth sulfate. coco-betaine. laureth-5 carboxylic acid. cocamide mipa. imodimethicone. sodium chloride. polyquaternium-10. ppg-5-ceteth-20. sodium benzoate. benzophenone-4. peg-55 propylene glycol oleate. propylene glycol. salicylic acid. sodium hydroxide. benzyl salicylate. benzyl alcohol. citronellol. linalool. methyl cocoate. geraniol. sodium cocoate. shorea robusta butter. shorea robusta seed butter. ci 19140/yellow 5. ci 14700/red 4. citric acid. parfum/fragrance,1
fragrance,argania spinosa kernel oil ψ fragrance,1
fragrance,aromatics perfume (parfum),1
fragrance,bobbi brown beach fragrance,1
fragrance,brj fragrance,3
fragrance,cashmere mist fragrance,4
fragrance,citronellol (eu fragrance allergen),1
fragrance,citrus aurantium bergamia (bergamot) fruit fragrance,2
fragrance,citrus aurantium dulcis (orange) peel oil fragrance,4
fragrance,clinique happy for men fragrance,1
fragrance,clinique happy heart fragrance (parfum),1
fragrance,clinique happy perfume (parfum),1
fragrance,coumarin (eu fragrance allergen),3
fragrance,ethylhexylglycerin parfum (fragrance),1
fragrance,fragrance,985
fragrance,fragrance (natural),6
fragrance,fragrance (parfum),805
fragrance,fragrance (parfum)**,4
fragrance,fragrance (parfum). (10-16-35826),1
fragrance,fragrance (parfum). *coconut,1
fragrance,fragrance / parfum,55
fragrance,fragrance /parfum,1
fragrance,fragrance <iln35606>,1
fragrance,fragrance <iln36744>,1
fragrance,fragrance <iln37671>,1
fragrance,fragrance <iln39219>,1
fragrance,fragrance <iln39583>,1
fragrance,fragrance oil,17
fragrance,fragrance parfum,3
fragrance,fragrance(parfum),10
fragrance,fragrance**,1
fragrance,fragrance*. *plant origin,1
fragrance,fragrance+,2
fragrance,fragrance. *coconut,1
fragrance,fragrance/ parfum,2
fragrance,fragrance/flavor,1
fragrance,fragrance/parfum,365
fragrance,fragrance/parfum ceteareth-20,1
fragrance,fragrance/parfum*,27
fragrance,fragrance/parfum**,5
fragrance,fragrance/parfum*. *100% naturally derived,1
fragrance,fragrance/parfum. dae moonsoon moisture mask water,1
fragrance,fragrance/parfum.*,1
fragrance,fragrance/perfume,2
fragrance,fragrance⁄parfum,1
fragrance,geraniol and fragrance/parfum*,1
fragrance,ikat jasmine fragrance,1
fragrance,ikat jasmine fragrance (parfum),2
fragrance,james fragrance,1
fragrance,leila lou fragrance,3
fragrance,lilac path fragrance,1
fragrance,limonene and fragrance/parfum*,1
fragrance,linalool *contains natural fragrance,1
fragrance,linalool fragrance,1
fragrance,linalool. *napiers original formula. +napiers aqua formula. ++fragrances,1
fragrance,miss dior eau de parfum,1
fragrance,miss dior eau de parfum pre-filled,1
fragrance,natural fragrance,11
fragrance,natural fragrance/parfum,4
fragrance,parfum,38
fragrance,parfum (100% natural fragrance),1
fragrance,parfum (fragrance),878
fragrance,parfum (fragrance) (098/131),1
fragrance,parfum (fragrance) (235/007),1
fragrance,parfum (fragrance) (245/059),1
fragrance,parfum (fragrance)&dagger,1
fragrance,parfum (fragrance)*,3
fragrance,parfum (fragrance)**,2
fragrance,parfum (fragrance).(263/026),1
fragrance,parfum (frangrance),1
fragrance,parfum / fragrance,188
fragrance,parfum / fragrance. c219469/1,1
fragrance,parfum /fragrance,2
fragrance,parfum fragrance,1
fragrance,parfum(fragrance),6
fragrance,parfum* (fragrance),16
fragrance,parfum/ fragrance,2
fragrance,parfum/fra- grance,1
fragrance,parfum/fragrance,794
fragrance,parfum/fragrance*,2
fragrance,parfum/fragrance. c258427/1,2
fragrance,parfum/fragrance. c278987/1,1
fragrance,parfum/fragrance. c279044/1,1
fragrance,parfum/fragrance. may contain ci 77499/iron oxides,1
fragrance,parfum/fragrance. n279920/1,1
fragrance,parfum/fragrances,1
fragrance,parfume,1
fragrance,parfume/fragrance n280447/1,1
fragrance,perfume,2
fragrance,perfume (fragrance),4
fragrance,phthalate-free fragrance,5
fragrance,phthalates free fragrance,10
fragrance,pogostemon cablin oil essential oil for fragrance,1
fragrance,polybutene; hydrogenated polyisobutene; dextrin palmitate; bis-diglyceryl polyacyladipate-2; polydecene; magnolia officinalis bark extract; limnanthes alba (meadowfoam) seed oil; lecithin; caprylyl glycol; simethicone; pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate; hexylene glycol; fragrance (parfum); phenoxyethanol; +/- titanium dioxide (ci 77891); iron oxides (ci 77491,1
fragrance,prickly pear fragrance,1
fragrance,quartz fragrance,1
fragrance,quaternium-91 fragrance (parfum),1
fragrance,rosa canina (rose hip) seed oil; blended with rosie fragrance,1
fragrance,rosa damascena oil essential oil for fragrance,1
fragrance,rosie eau de parfum,1
fragrance,santalum austrocaledonicum wood oil essential oil for fragrance,1
fragrance,vitis vinifera (grape) seed oil fragrance,2
vitamin e,***tocopherol,1
vitamin e,*tocopherol (mixed),10
vitamin e,and tocopherol,1
vitamin e,aqua / water glycerin dimethicone squalane bis-peg-18 methyl ether dimethyl silane sucrose stearate stearyl alcohol peg-8 stearate myristyl myristate prunus armeniaca kernel oil / apricot kernel oil phenoxyethanol persea gratissima oil / avocado oil glyceryl stearate cetyl alcohol oryza sativa bran oil / rice bran oil olea europaea fruit oil / olive fruit oil chlorphenesin stearic acid palmitic acid carbomer acrylates/c10-30 alkyl acrylate crosspolymer trisodium ethylenediamine disuccinate prunus amygdalus dulcis oil / sweet almond oil xanthan gum ethylhexylglycerin sodium hydroxide tocopherol c1 - internal use glycine soja oil / soybean oil pseudoalteromonas ferment extract myristic acid hydroxypalmitoyl sphinganine salicylic acid helianthus annuus seed oil / sunflower seed oil rosmarinus officinalis leaf extract / rosemary leaf extract citric acid,2
vitamin e,biotinm tocopherol,1
vitamin e,c12-20 alkyl glucoside tocopherol,1
vitamin e,cryptomeria japonica bud extract tocopherol,1
vitamin e,d-alpha tocopherol,2
vitamin e,d-alpha-tocopherol,6
vitamin e,d-alpha-tocopherol (vitamin e),3
vitamin e,dicaprylyl (vitamin e) carbonate,1
vitamin e,dl-alpha tocopheryl acetate,3
vitamin e,dl-tocopherol (vitamin e) 1%,1
vitamin e,euphorbia cerifera (candelilla) wax tocopherol ascorbyl palmitate,1
vitamin e,filtrate tocopheryl acetate,1
vitamin e,hydroxide tocopherol,1
vitamin e,iron oxides ci 77499 black 2 ci 77266 (nano) ferric ammonium ferrocyanide ci 77510 (the allergen substances are not present corporate - regulatory affairs office) ascorbyl palmitate citric acid lecithin tocopherol disteardimonium hectorite propylene carbonate caprylyl methicone dicalcium phosphate disiloxane mica phenylpropyldimethylsiloxysilicate polyhydroxystearic acid bis-diglyceryl polyacyladipate-2 polyethylene trimethylsiloxysilicate synthetic wax dimethicone,1
vitamin e,mica  caprylic/capric triglyceride  dimethicone  diisostearyl malate  silica  zinc stearate  caprylyl glycol  ethylhexylglycerin  alumina  tocopheryl acetate  synthetic fluorphlogopite  triethoxycaprylylsilane  c20-24 olefin  +/- titanium dioxide (ci 77891)  iron oxides (ci 77491)  iron oxides (ci 77492)  iron oxides (ci 77499)  carmine (ci 75470)  ferric ammonium ferrocyanide (ci 77510)  ferric ferrocyanide (ci 77510)  ultramarines (ci 77007)  blue 1 lake (ci 42090)  yellow 5 lake (ci 19140)  manganese violet (ci 77742)  copper powder (ci 77400)  chromium hydroxide green (ci 77289)  chromium oxide greens (ci 77288)  bronze powder (ci 77400)  aluminum powder (ci 77000)  bismuth oxychloride (ci 77163),1
vitamin e,mica dimethicone squalane titanium dioxide ci 77891 silica trimethylsiloxysilicate iron oxides ci 77499 iron oxides ci 77492 hydrogenated styrene/isoprene copolymer blue 1 lake ci 42090 zinc stearate caprylyl glycol ethylhexylglycerin octyldodecyl stearoyl stearate boron nitride dimethicone/vinyl dimethicone crosspolymer pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate tocopherol laureth-4,1
vitamin e,mixed tocopherols,2
vitamin e,mixed tocopherols (vitamin e),2
vitamin e,octyldodecyl lauroyl glutamate/tocopherol/jasminum officinale (jasmine) oil/citrus aurantium amara (bitter orange) leaf,1
vitamin e,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate tocopherol,1
vitamin e,sodium hydroxide tocopherol,1
vitamin e,superoxide dismutase tocopheryl acetate,1
